,SGEN
% Above Low,0.1617
% Held by Institutions,0.8802
52-Wk Range,['105.43 - 183.00']
Annual Dividend $,
Annual Dividend %,
Ask,122.65
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,122.48
Bid Size,200.0
Day Change $,-0.96
Day Change %,-0.0078000000000000005
Day High,125.08
Day Low,122.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.46
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),3.0
Last (time),2:05p ET 11/28/22
Market Cap,22.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,123.44
Price,122.48
Short Interest,0.013500000000000002
Today's Open,124.14
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.007712082262210873
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,-0.0038560411311054366
Growth 2yr Low Est,-0.0038560411311054366
Growth 2yr High Est,-0.5942249240121581
Growth 2yr Consensus Est,-0.29904048257163174
Growth 5yr Low Est,-0.7610406394425949
Growth 5yr High Est,-1.0135938180806443
Growth 5yr Consensus Est,-0.8873172287616194
Growth 5yr Actual/Est,-1.7579946618552977
Growth 3yr Historic,-1.6520848788328388
Price/Earnings (TTM),
Price/Sales (TTM),12.29457
Price/Book (MRQ),8.10305
Price/Cash Flow (TTM),
5yr Low,47.75
5yr High,213.94
5yr Avg Return,0.21213333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.3036338
Dividend Growth 5yr,
Short Int Current Month,2477349.0
Short Int Prev Month,2320582.0
Short Int Pct of Float,0.0134918
Days to Cover,2.24316
Float,183.6317
Shares Outstanding,185.6649
Institutions Holding Shares,793.0
FCF Growth 5yr,0.037039670662480484
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7916
Operating Profit Margin (TTM),-0.3385
Net Profit Margin (TTM),-0.34159999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4103
EPS Growth (TTM),-0.8702
Revenue Growth (MRQ),0.0257
Revenue Growth (TTM),0.0678
Return On Equity (TTM),-0.2127
Return On Assets (TTM),-0.16760000000000003
Return On Investment (TTM),-0.20629999999999998
Revenue Per Employee (TTM),696865.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.3
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-19 00:00:00
theStreet since,2022-09-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-02-11 00:00:00
marketEdge opinion since,
