,SGEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),12.29,45.03,Valuation,0.27292915833888515
Price/Book (MRQ),8.1,12.61,Valuation,0.6423473433782713
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7916,0.5874,Profitability,1.3476336397684712
Operating Profit Margin (TTM),-0.3385,-4.7459,Profitability,0.07132472239195939
Net Profit Margin (TTM),-0.34159999999999996,-4.5467,Profitability,0.07513141399256602
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.4103,-0.0014000000000000002,Gowth rates,293.07142857142856
EPS Growth (TTM),-0.8702,0.027200000000000002,Gowth rates,-31.992647058823525
Revenue Growth (MRQ),0.0257,1.3963999999999999,Gowth rates,0.018404468633629333
Revenue Growth (TTM),0.0678,0.9747,Gowth rates,0.06955986457371499
Return On Equity (TTM),-0.2127,0.1967,Effectiveness,-1.0813421453990848
Return On Assets (TTM),-0.16760000000000003,0.0016,Effectiveness,-104.75000000000001
Return On Investment (TTM),-0.20629999999999998,0.0219,Effectiveness,-9.420091324200913
Revenue Per Employee (TTM),696865.0,1476201.0,Effectiveness,0.4720664733325611
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),3.3,2.06,Financial strength,1.6019417475728155
Interest Coverage (MRQ),,2.69,Financial strength,
