,CHTR
% Above Low,0.3106
% Held by Institutions,0.6576000000000001
52-Wk Range,['297.66 - 693.09']
Annual Dividend $,
Annual Dividend %,
Ask,391.07
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,389.15
Bid Size,100.0
Closing Price,390.11
Day Change $,-0.12
Day Change %,-0.0003
Day High,394.4
Day Low,387.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",32.01
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,60.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.19
Prev Close,390.23
Short Interest,0.09230000000000001
Today's Open,393.06
Volume,444857.0
Volume 10-day Avg,1134899.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0799047942876574
Growth 2yr High Est,0.28072289156626495
Growth 2yr Consensus Est,0.18031384292696118
Growth 5yr Low Est,0.0799047942876574
Growth 5yr High Est,0.28072289156626495
Growth 5yr Consensus Est,0.18031384292696118
Growth 5yr Actual/Est,0.5270153464777921
Growth 3yr Historic,0.41401878323019264
Price/Earnings (TTM),12.18796
Price/Sales (TTM),1.13386
Price/Book (MRQ),6.83196
Price/Cash Flow (TTM),3.97209
5yr Low,250.1
5yr High,825.62
5yr Avg Return,0.09348333333333335
EPS Growth 5yr,0.08943279999999999
Revenue Growth 5yr,0.1224817
Dividend Growth 5yr,
Short Int Current Month,9151001.0
Short Int Prev Month,8275310.0
Short Int Pct of Float,0.09231070000000001
Days to Cover,6.94939
Float,99.12742
Shares Outstanding,155.6723
Institutions Holding Shares,1217.0
FCF Growth 5yr,0.15817351142966526
"Price/Earnings (TTM, GAAP)",12.19
"PEG Ratio (TTM, GAAP)",0.46
Gross Profit Margin (TTM),0.45439999999999997
Operating Profit Margin (TTM),0.2248
Net Profit Margin (TTM),0.1176
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.16210000000000002
EPS Growth (TTM),0.45280000000000004
Revenue Growth (MRQ),-0.0034999999999999996
Revenue Growth (TTM),0.0483
Return On Equity (TTM),0.42200000000000004
Return On Assets (TTM),0.044000000000000004
Return On Investment (TTM),0.0495
Revenue Per Employee (TTM),571612.0
Total Debt/Total Capital (MRQ),0.8871
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.31
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2021-01-13 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-17 00:00:00
