,BIO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),4.27,6.06,Valuation,0.7046204620462045
Price/Book (MRQ),1.43,6.22,Valuation,0.22990353697749197
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.5617,0.5095000000000001,Profitability,1.1024533856722274
Operating Profit Margin (TTM),0.16519999999999999,0.0332,Profitability,4.975903614457831
Net Profit Margin (TTM),-2.1516,-0.0454,Profitability,47.392070484581495
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.8225,-0.5094,Gowth rates,-1.6146446800157048
EPS Growth (TTM),-1.9155000000000002,-0.2377,Gowth rates,8.05847707193942
Revenue Growth (MRQ),-0.0149,0.1691,Gowth rates,-0.08811354228267297
Revenue Growth (TTM),-0.0587,0.1222,Gowth rates,-0.48036006546644844
Return On Equity (TTM),-0.5074000000000001,1.1042,Effectiveness,-0.4595182032240536
Return On Assets (TTM),-0.37700000000000006,0.0644,Effectiveness,-5.854037267080746
Return On Investment (TTM),-0.392,0.0802,Effectiveness,-4.887780548628429
Revenue Per Employee (TTM),355029.0,335561.0,Effectiveness,1.058016277219343
Total Debt/Total Capital (MRQ),0.1241,0.3893,Financial strength,0.31877729257641924
Change in Debt/Total Capital Quarter over Quarter,1.5904,0.0252,Financial strength,63.111111111111114
Quick Ratio (MRQ),4.3,1.51,Financial strength,2.847682119205298
Interest Coverage (MRQ),0.33,33.07,Financial strength,0.009978832778953735
