,BIO
% Above Low,0.1724
% Held by Institutions,0.7942
52-Wk Range,['344.63 - 771.69']
Annual Dividend $,
Annual Dividend %,
Ask,647.6
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,318.33
Bid Size,100.0
Closing Price,404.06
Day Change $,0.12
Day Change %,0.0003
Day High,406.54
Day Low,400.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-201.8
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),546.0
Last (time),5:00p ET 11/25/22
Market Cap,12.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,403.94
Short Interest,0.0134
Today's Open,402.89
Volume,54007.0
Volume 10-day Avg,213789.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.05573770491803276
Growth 1yr High Est,-0.11334552102376594
Growth 1yr Consensus Est,-0.08454161297089935
Growth 2yr Low Est,-0.00877163023679417
Growth 2yr High Est,-0.03089956463559429
Growth 2yr Consensus Est,-0.01983559743619423
Growth 5yr Low Est,0.27883096809838614
Growth 5yr High Est,0.30355160464475484
Growth 5yr Consensus Est,0.2911912863715705
Growth 5yr Actual/Est,0.23642546926854208
Growth 3yr Historic,0.24466953543230757
Price/Earnings (TTM),
Price/Sales (TTM),4.27324
Price/Book (MRQ),1.42551
Price/Cash Flow (TTM),
5yr Low,220.05
5yr High,832.7
5yr Avg Return,0.14888333333333337
EPS Growth 5yr,1.760373
Revenue Growth 5yr,0.0716054
Dividend Growth 5yr,
Short Int Current Month,284122.0
Short Int Prev Month,251954.0
Short Int Pct of Float,0.0134157
Days to Cover,0.78495
Float,21.31781
Shares Outstanding,29.82413
Institutions Holding Shares,731.0
FCF Growth 5yr,0.29779073044364235
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5617
Operating Profit Margin (TTM),0.16519999999999999
Net Profit Margin (TTM),-2.1516
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8225
EPS Growth (TTM),-1.9155000000000002
Revenue Growth (MRQ),-0.0149
Revenue Growth (TTM),-0.0587
Return On Equity (TTM),-0.5074000000000001
Return On Assets (TTM),-0.37700000000000006
Return On Investment (TTM),-0.392
Revenue Per Employee (TTM),355029.0
Total Debt/Total Capital (MRQ),0.1241
Change in Debt/Total Capital Quarter over Quarter,1.5904
Quick Ratio (MRQ),4.3
Interest Coverage (MRQ),0.33
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
cfra since,2021-06-07 00:00:00
ford since,2022-03-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-28 00:00:00
