,GBX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.43,24.01,Valuation,1.1424406497292794
Price/Sales (TTM),0.42,3.06,Valuation,0.1372549019607843
Price/Book (MRQ),0.97,7.44,Valuation,0.1303763440860215
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.1028,0.32799999999999996,Profitability,0.3134146341463415
Operating Profit Margin (TTM),0.0396,0.0198,Profitability,2.0
Net Profit Margin (TTM),0.0143,-0.0086,Profitability,-1.6627906976744187
Annual Dividend Yield,0.028399999999999998,0.0143,Dividend,1.9860139860139858
Dividend Change %,0.0,0.1666,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.026000000000000002,0.0885,Dividend,0.29378531073446335
EPS Growth (MRQ),5.519400000000001,0.3518,Gowth rates,15.689027856736786
EPS Growth (TTM),11.0383,0.16149999999999998,Gowth rates,68.34860681114552
Revenue Growth (MRQ),0.1981,0.196,Gowth rates,1.0107142857142857
Revenue Growth (TTM),0.7034999999999999,0.1475,Gowth rates,4.769491525423728
Return On Equity (TTM),0.0363,0.2859,Effectiveness,0.12696747114375656
Return On Assets (TTM),0.0117,0.0851,Effectiveness,0.13748531139835488
Return On Investment (TTM),0.0173,0.12490000000000001,Effectiveness,0.1385108086469175
Revenue Per Employee (TTM),206785.0,343373.0,Effectiveness,0.6022168312593011
Total Debt/Total Capital (MRQ),0.518,0.6352000000000001,Financial strength,0.8154911838790931
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0189,Financial strength,0.07936507936507936
Quick Ratio (MRQ),,1.07,Financial strength,
Interest Coverage (MRQ),3.23,20.9,Financial strength,0.15454545454545454
