,GBX
Price/Earnings (TTM),27.43236
Price/Sales (TTM),0.41847
Price/Book (MRQ),0.97051
Price/Cash Flow (TTM),8.62332
5yr Low,12.89
5yr High,64.87
5yr Avg Return,-0.01576666666666666
EPS Growth 5yr,-0.17525390000000002
Revenue Growth 5yr,0.06541229999999999
Dividend Growth 5yr,0.0490615
Short Int Current Month,1261680.0
Short Int Prev Month,1240559.0
Short Int Pct of Float,0.0395357
Days to Cover,3.26792
Float,31.96389
Shares Outstanding,32.78269
Institutions Holding Shares,247.0
% Held by Institutions,0.914631
FCF Growth 5yr,0.1301537958138973
