,QNST
% Below High,0.2463
% Held by Institutions,0.8832
52-Wk Range,['8.28 - 18.76']
Annual Dividend $,
Annual Dividend %,
Ask,14.17
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,14.11
Bid Size,200.0
Day Change $,0.205
Day Change %,0.0147
Day High,14.2
Day Low,13.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.598
Last (size),9.0
Last (time),12:05p ET 11/28/22
Market Cap,760.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,13.93
Price,14.14
Short Interest,0.024700000000000003
Today's Open,13.8
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.2727272727272728
Growth 1yr High Est,0.11111111111111116
Growth 1yr Consensus Est,-0.08080808080808083
Growth 2yr Low Est,0.11363636363636359
Growth 2yr High Est,0.5680555555555555
Growth 2yr Consensus Est,0.34084595959595954
Growth 5yr Low Est,-0.07724788872329857
Growth 5yr High Est,0.21203703703703702
Growth 5yr Consensus Est,0.06739457415686922
Growth 5yr Actual/Est,0.12253246753246758
Growth 3yr Historic,-0.037424242424242415
Price/Earnings (TTM),
Price/Sales (TTM),1.31996
Price/Book (MRQ),2.63345
Price/Cash Flow (TTM),175.1958
5yr Low,5.76
5yr High,25.99
5yr Avg Return,0.11356666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.14192449999999998
Dividend Growth 5yr,
Short Int Current Month,1246674.0
Short Int Prev Month,1112410.0
Short Int Pct of Float,0.024685199999999997
Days to Cover,3.65043
Float,51.00367
Shares Outstanding,53.64035
Institutions Holding Shares,192.0
FCF Growth 5yr,-0.19051000657065933
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0848
Operating Profit Margin (TTM),-0.0239
Net Profit Margin (TTM),-0.0227
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0693
EPS Growth (TTM),-2.1104
Revenue Growth (MRQ),-0.0199
Revenue Growth (TTM),-0.0547
Return On Equity (TTM),-0.0441
Return On Assets (TTM),-0.030299999999999997
Return On Investment (TTM),-0.0406
Revenue Per Employee (TTM),715656.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-22.36
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-09-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
