,CALX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",96.03,26.06,Valuation,3.68495778971604
Price/Sales (TTM),5.6,5.09,Valuation,1.1001964636542239
Price/Book (MRQ),6.91,4.51,Valuation,1.5321507760532151
"PEG Ratio (TTM, GAAP)",4.8,2.07,Valuation,2.318840579710145
Gross Profit Margin (TTM),0.5024000000000001,0.5751,Profitability,0.8735872022257001
Operating Profit Margin (TTM),0.0677,0.2231,Profitability,0.3034513670999552
Net Profit Margin (TTM),0.061200000000000004,0.1819,Profitability,0.33644859813084116
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),0.7614000000000001,-0.16579999999999998,Gowth rates,-4.592279855247287
EPS Growth (TTM),-0.8012,0.1262,Gowth rates,-6.3486529318541995
Revenue Growth (MRQ),0.1697,0.1365,Gowth rates,1.243223443223443
Revenue Growth (TTM),0.1883,0.0862,Gowth rates,2.1844547563805103
Return On Equity (TTM),0.0828,0.195,Effectiveness,0.4246153846153846
Return On Assets (TTM),0.06269999999999999,0.1241,Effectiveness,0.5052377115229653
Return On Investment (TTM),0.07740000000000001,0.1684,Effectiveness,0.45961995249406185
Revenue Per Employee (TTM),838305.0,688581.0,Effectiveness,1.2174384712909592
Total Debt/Total Capital (MRQ),0.0,0.36450000000000005,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0002,Financial strength,
Quick Ratio (MRQ),2.18,1.51,Financial strength,1.4437086092715232
Interest Coverage (MRQ),,1.83,Financial strength,
