,CALX
% Below High,0.155
% Held by Institutions,0.8371
52-Wk Range,['31.59 - 80.95']
Annual Dividend $,
Annual Dividend %,
Ask,80.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,52.0
Bid Size,100.0
Closing Price,68.4
Day Change $,-0.09
Day Change %,-0.0013
Day High,69.69
Day Low,67.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.71
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",96.03
Prev Close,68.49
Short Interest,0.0263
Today's Open,67.99
Volume,130425.0
Volume 10-day Avg,452107.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.23703703703703705
Growth 1yr High Est,-0.2230215827338129
Growth 1yr Consensus Est,-0.23002930988542497
Growth 2yr Low Est,-0.08939230492628553
Growth 2yr High Est,0.04126698641087123
Growth 2yr Consensus Est,-0.024062659257707147
Growth 5yr Low Est,6.455303847536857
Growth 5yr High Est,6.720633493205435
Growth 5yr Consensus Est,6.587968670371146
Growth 5yr Actual/Est,3.802038551345159
Growth 3yr Historic,3.824122807017544
Price/Earnings (TTM),96.031
Price/Sales (TTM),5.59703
Price/Book (MRQ),6.91046
Price/Cash Flow (TTM),70.5333
5yr Low,5.55
5yr High,80.95
5yr Avg Return,0.7681
EPS Growth 5yr,
Revenue Growth 5yr,0.08168829999999999
Dividend Growth 5yr,
Short Int Current Month,1510158.0
Short Int Prev Month,1518190.0
Short Int Pct of Float,0.026298
Days to Cover,2.62426
Float,57.23465
Shares Outstanding,65.44129
Institutions Holding Shares,310.0
FCF Growth 5yr,0.17851526290543043
"Price/Earnings (TTM, GAAP)",96.03
"PEG Ratio (TTM, GAAP)",4.8
Gross Profit Margin (TTM),0.5024000000000001
Operating Profit Margin (TTM),0.0677
Net Profit Margin (TTM),0.061200000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7614000000000001
EPS Growth (TTM),-0.8012
Revenue Growth (MRQ),0.1697
Revenue Growth (TTM),0.1883
Return On Equity (TTM),0.0828
Return On Assets (TTM),0.06269999999999999
Return On Investment (TTM),0.07740000000000001
Revenue Per Employee (TTM),838305.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.18
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-04 00:00:00
