,CALX
Price/Earnings (TTM),96.031
Price/Sales (TTM),5.59703
Price/Book (MRQ),6.91046
Price/Cash Flow (TTM),70.5333
5yr Low,5.55
5yr High,80.95
5yr Avg Return,0.7681
EPS Growth 5yr,
Revenue Growth 5yr,0.08168829999999999
Dividend Growth 5yr,
Short Int Current Month,1510158.0
Short Int Prev Month,1518190.0
Short Int Pct of Float,0.026298
Days to Cover,2.62426
Float,57.23465
Shares Outstanding,65.44129
Institutions Holding Shares,310.0
% Held by Institutions,0.8370730000000001
FCF Growth 5yr,0.17851526290543043
