,BHLB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.81,11.43,Valuation,1.558180227471566
Price/Sales (TTM),3.64,3.3,Valuation,1.103030303030303
Price/Book (MRQ),1.49,1.46,Valuation,1.0205479452054795
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.26489999999999997,0.34240000000000004,Profitability,0.7736565420560746
Net Profit Margin (TTM),0.2129,0.2812,Profitability,0.7571123755334281
Annual Dividend Yield,0.023,0.028700000000000003,Dividend,0.8013937282229964
Dividend Change %,-0.3333,-0.0086,Dividend,38.75581395348837
"Dividend Growth Rate, 3 Years",-0.1829,0.0734,Dividend,-2.491825613079019
EPS Growth (MRQ),-0.1711,-0.0335,Gowth rates,5.107462686567164
EPS Growth (TTM),-0.2586,-0.09960000000000001,Gowth rates,2.5963855421686746
Revenue Growth (MRQ),0.1865,0.5429,Gowth rates,0.34352551114385704
Revenue Growth (TTM),-0.010400000000000001,0.2466,Gowth rates,-0.042173560421735604
Return On Equity (TTM),0.0776,0.1135,Effectiveness,0.6837004405286343
Return On Assets (TTM),0.0070999999999999995,0.0099,Effectiveness,0.717171717171717
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.0009,Financial strength,3.0000000000000004
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
