,BHLB
% Below High,0.016
% Held by Institutions,0.8264
52-Wk Range,['23.62 - 31.78']
Annual Dividend $,0.72
Annual Dividend %,0.023
Ask,31.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,31.27
Day Change $,0.43
Day Change %,0.0139
Day High,31.27
Day Low,30.94
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.289
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,30.84
Short Interest,0.052300000000000006
Today's Open,30.94
Volume,91632.0
Volume 10-day Avg,235089.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.1601731601731602
Growth 1yr High Est,-0.17695473251028815
Growth 1yr Consensus Est,-0.16856394634172417
Growth 2yr Low Est,0.020428883830945765
Growth 2yr High Est,0.06152263374485595
Growth 2yr Consensus Est,0.04097575878790086
Growth 5yr Low Est,-1.6859272279731679
Growth 5yr High Est,-1.6522144060212447
Growth 5yr Consensus Est,-1.6690708169972062
Growth 5yr Actual/Est,-1.636849145010714
Growth 3yr Historic,-1.6589059383331448
Price/Earnings (TTM),17.806
Price/Sales (TTM),3.64269
Price/Book (MRQ),1.49422
Price/Cash Flow (TTM),14.46899
5yr Low,8.55
5yr High,44.25
5yr Avg Return,0.03316666666666667
EPS Growth 5yr,0.04931
Revenue Growth 5yr,0.0324967
Dividend Growth 5yr,-0.0971195
Short Int Current Month,2243785.0
Short Int Prev Month,2015509.0
Short Int Pct of Float,0.052259200000000006
Days to Cover,8.35291
Float,42.93567
Shares Outstanding,45.02506
Institutions Holding Shares,259.0
FCF Growth 5yr,1.6061737615135676
"Price/Earnings (TTM, GAAP)",17.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.26489999999999997
Net Profit Margin (TTM),0.2129
Annual Dividend Yield,0.023
Dividend Change %,-0.3333
"Dividend Growth Rate, 3 Years",-0.1829
EPS Growth (MRQ),-0.1711
EPS Growth (TTM),-0.2586
Revenue Growth (MRQ),0.1865
Revenue Growth (TTM),-0.010400000000000001
Return On Equity (TTM),0.0776
Return On Assets (TTM),0.0070999999999999995
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-08 00:00:00
