,ACET,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),24.13,45.03,Valuation,0.5358649789029536
Price/Book (MRQ),2.31,12.61,Valuation,0.18318794607454403
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.8559,-4.7459,Profitability,0.3910533302429466
Net Profit Margin (TTM),-1.8297,-4.5467,Profitability,0.4024237358963644
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0608,-0.0014000000000000002,Gowth rates,-43.42857142857142
EPS Growth (TTM),0.29050000000000004,0.027200000000000002,Gowth rates,10.68014705882353
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),2.1491000000000002,0.9747,Gowth rates,2.204883553914025
Return On Equity (TTM),-0.2084,0.1967,Effectiveness,-1.0594814438230808
Return On Assets (TTM),-0.18230000000000002,0.0016,Effectiveness,-113.9375
Return On Investment (TTM),-0.1941,0.0219,Effectiveness,-8.863013698630137
Revenue Per Employee (TTM),354163.0,1476201.0,Effectiveness,0.2399151606048228
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
