,ACET
% Below High,0.2158
% Held by Institutions,0.8998999999999999
52-Wk Range,['9.29 - 21.87']
Annual Dividend $,
Annual Dividend %,
Ask,17.67
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,2.1
Bid,16.4
Bid Size,100.0
Closing Price,17.15
Day Change $,-0.05
Day Change %,-0.0029
Day High,17.23
Day Low,16.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.893
Last (size),70.0
Last (time),1:00p ET 11/25/22
Market Cap,734.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,17.2
Short Interest,0.08259999999999999
Today's Open,17.18
Volume,277915.0
Volume 10-day Avg,700289.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.25116279069767433
Growth 1yr High Est,-0.2171052631578948
Growth 1yr Consensus Est,-0.23413402692778457
Growth 2yr Low Est,0.21603351148346095
Growth 2yr High Est,-0.7724181777974348
Growth 2yr Consensus Est,-0.27819233315698694
Growth 5yr Low Est,0.21603351148346095
Growth 5yr High Est,-0.7724181777974348
Growth 5yr Consensus Est,-0.2781923331569869
Growth 5yr Actual/Est,-0.2984553802886225
Growth 3yr Historic,-0.32595538028862253
Price/Earnings (TTM),
Price/Sales (TTM),24.12832
Price/Book (MRQ),2.31006
Price/Cash Flow (TTM),
5yr Low,6.02
5yr High,147.68
5yr Avg Return,-0.16042
Short Int Current Month,3099109.0
Short Int Prev Month,3585830.0
Short Int Pct of Float,0.0826111
Days to Cover,4.6762
Float,38.3475
Shares Outstanding,42.85134
Institutions Holding Shares,143.0
FCF Growth 5yr,-3.8959362590051634
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.8559
Net Profit Margin (TTM),-1.8297
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0608
EPS Growth (TTM),0.29050000000000004
Revenue Growth (MRQ),
Revenue Growth (TTM),2.1491000000000002
Return On Equity (TTM),-0.2084
Return On Assets (TTM),-0.18230000000000002
Return On Investment (TTM),-0.1941
Revenue Per Employee (TTM),354163.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-06-02 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
