,LAD
% Above Low,0.2762
% Held by Institutions,1.0187
52-Wk Range,['180.00 - 349.61']
Annual Dividend $,1.68
Annual Dividend %,0.0073
Ask,233.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,183.0
Bid Size,100.0
Closing Price,229.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",44.73
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.435
Last (size),40.0
Last (time),5:00p ET 11/25/22
Market Cap,6.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.14
Prev Close,229.72
Short Interest,0.08
Today's Open,
Volume,128747.0
Volume 10-day Avg,468570.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.19013698630136977
Growth 1yr High Est,0.1766331658291458
Growth 1yr Consensus Est,0.18338507606525778
Growth 2yr Low Est,-0.08299320114029118
Growth 2yr High Est,0.047423992694628436
Growth 2yr Consensus Est,-0.017784604222831374
Growth 5yr Low Est,0.365403412594678
Growth 5yr High Est,0.44484813392654854
Growth 5yr Consensus Est,0.4051257732606133
Growth 5yr Actual/Est,0.4228052381309047
Growth 3yr Historic,0.43685710265414585
Price/Earnings (TTM),5.13618
Price/Sales (TTM),0.22795
Price/Book (MRQ),1.26759
Price/Cash Flow (TTM),4.29561
5yr Low,55.74
5yr High,417.98
5yr Avg Return,0.22344999999999998
EPS Growth 5yr,0.3647416
Revenue Growth 5yr,0.2134507
Dividend Growth 5yr,0.07439269999999999
Short Int Current Month,2142483.0
Short Int Prev Month,1941276.0
Short Int Pct of Float,0.0799675
Days to Cover,3.83642
Float,26.79538
Shares Outstanding,27.33841
Institutions Holding Shares,513.0
FCF Growth 5yr,3.40859993184001
"Price/Earnings (TTM, GAAP)",5.14
"PEG Ratio (TTM, GAAP)",1.56
Gross Profit Margin (TTM),0.1883
Operating Profit Margin (TTM),0.0751
Net Profit Margin (TTM),0.04730000000000001
Annual Dividend Yield,0.0073
Dividend Change %,0.11480000000000001
"Dividend Growth Rate, 3 Years",0.060599999999999994
EPS Growth (MRQ),0.0309
EPS Growth (TTM),0.3296
Revenue Growth (MRQ),0.0077
Revenue Growth (TTM),0.34630000000000005
Return On Equity (TTM),0.2717
Return On Assets (TTM),0.10740000000000001
Return On Investment (TTM),0.1359
Revenue Per Employee (TTM),1302629.0
Total Debt/Total Capital (MRQ),0.5819
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004
Quick Ratio (MRQ),0.49
Interest Coverage (MRQ),8.07
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-12 00:00:00
theStreet since,2022-10-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-20 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
