,LAD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.14,19.03,Valuation,0.27009984235417756
Price/Sales (TTM),0.23,1.93,Valuation,0.11917098445595856
Price/Book (MRQ),1.27,92.12,Valuation,0.013786365610073816
"PEG Ratio (TTM, GAAP)",1.56,7.27,Valuation,0.21458046767537828
Gross Profit Margin (TTM),0.1883,0.34390000000000004,Profitability,0.547542890375109
Operating Profit Margin (TTM),0.0751,0.11789999999999999,Profitability,0.6369804919423241
Net Profit Margin (TTM),0.04730000000000001,0.0818,Profitability,0.5782396088019561
Annual Dividend Yield,0.0073,0.016200000000000003,Dividend,0.45061728395061723
Dividend Change %,0.11480000000000001,0.2582,Dividend,0.44461657629744394
"Dividend Growth Rate, 3 Years",0.060599999999999994,0.09390000000000001,Dividend,0.6453674121405749
EPS Growth (MRQ),0.0309,-0.10800000000000001,Gowth rates,-0.2861111111111111
EPS Growth (TTM),0.3296,0.0262,Gowth rates,12.580152671755725
Revenue Growth (MRQ),0.0077,0.0478,Gowth rates,0.16108786610878661
Revenue Growth (TTM),0.34630000000000005,0.0874,Gowth rates,3.9622425629290623
Return On Equity (TTM),0.2717,5.2054,Effectiveness,0.052195796672686055
Return On Assets (TTM),0.10740000000000001,0.1562,Effectiveness,0.6875800256081946
Return On Investment (TTM),0.1359,0.26,Effectiveness,0.5226923076923077
Revenue Per Employee (TTM),1302629.0,410011.0,Effectiveness,3.177058664279739
Total Debt/Total Capital (MRQ),0.5819,0.8926999999999999,Financial strength,0.6518427243194802
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004,0.0016,Financial strength,2.0625
Quick Ratio (MRQ),0.49,0.39,Financial strength,1.2564102564102564
Interest Coverage (MRQ),8.07,13.36,Financial strength,0.6040419161676647
