,FBMS
% Below High,0.15810000000000002
% Held by Institutions,0.6834
52-Wk Range,['26.95 - 41.23']
Annual Dividend $,0.8
Annual Dividend %,0.023
Ask,54.32
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.9
Bid,13.88
Bid Size,200.0
Closing Price,34.71
Day Change $,0.17
Day Change %,0.0049
Day High,34.78
Day Low,34.48
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.256
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,834.0M
"P/E Ratio (TTM, GAAP)",11.84
Prev Close,34.54
Short Interest,0.0433
Today's Open,34.6
Volume,42452.0
Volume 10-day Avg,102908.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.09302325581395343
Growth 1yr High Est,-0.01967213114754085
Growth 1yr Consensus Est,-0.05634769348074714
Growth 2yr Low Est,-0.048343129738478485
Growth 2yr High Est,0.12895992104830306
Growth 2yr Consensus Est,0.04030839565491229
Growth 5yr Low Est,-0.005421564869239254
Growth 5yr High Est,0.08391458949941652
Growth 5yr Consensus Est,0.03924651231508863
Growth 5yr Actual/Est,0.0729840846628621
Growth 3yr Historic,0.040788854830600546
Price/Earnings (TTM),11.83696
Price/Sales (TTM),4.00811
Price/Book (MRQ),1.342
Price/Cash Flow (TTM),11.69651
5yr Low,15.27
5yr High,43.53
5yr Avg Return,0.018783333333333332
EPS Growth 5yr,0.1412803
Revenue Growth 5yr,0.317027
Dividend Growth 5yr,0.31059149999999996
Short Int Current Month,994593.0
Short Int Prev Month,880767.0
Short Int Pct of Float,0.0432533
Days to Cover,8.95965
Float,23.03776
Shares Outstanding,24.0279
Institutions Holding Shares,162.0
FCF Growth 5yr,0.20767416560784602
"Price/Earnings (TTM, GAAP)",11.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3751
Net Profit Margin (TTM),0.3
Annual Dividend Yield,0.023
Dividend Change %,0.381
"Dividend Growth Rate, 3 Years",0.42600000000000005
EPS Growth (MRQ),-0.2002
EPS Growth (TTM),-0.022400000000000003
Revenue Growth (MRQ),0.1751
Revenue Growth (TTM),0.0441
Return On Equity (TTM),0.0968
Return On Assets (TTM),0.010400000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-22 00:00:00
researchTeam since,2022-08-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
