,FBMS
Price/Earnings (TTM),11.83696
Price/Sales (TTM),4.00811
Price/Book (MRQ),1.342
Price/Cash Flow (TTM),11.69651
5yr Low,15.27
5yr High,43.53
5yr Avg Return,0.018783333333333332
EPS Growth 5yr,0.1412803
Revenue Growth 5yr,0.317027
Dividend Growth 5yr,0.31059149999999996
Short Int Current Month,994593.0
Short Int Prev Month,880767.0
Short Int Pct of Float,0.0432533
Days to Cover,8.95965
Float,23.03776
Shares Outstanding,24.0279
Institutions Holding Shares,162.0
% Held by Institutions,0.683364
FCF Growth 5yr,0.20767416560784602
