,NVRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.98,9.8,Valuation,0.4061224489795918
Price/Book (MRQ),4.84,10.31,Valuation,0.4694471387002909
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.6837000000000001,0.6196,Profitability,1.1034538411878632
Operating Profit Margin (TTM),-0.0018,0.047,Profitability,-0.03829787234042553
Net Profit Margin (TTM),-0.0201,0.009300000000000001,Profitability,-2.161290322580645
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),4.0851,-0.4858,Gowth rates,-8.409016055990119
EPS Growth (TTM),0.8829000000000001,-0.2029,Gowth rates,-4.351404632824052
Revenue Growth (MRQ),-0.036000000000000004,0.1161,Gowth rates,-0.310077519379845
Revenue Growth (TTM),0.0036,0.18300000000000002,Gowth rates,0.019672131147540982
Return On Equity (TTM),-0.024700000000000003,0.1068,Effectiveness,-0.23127340823970038
Return On Assets (TTM),-0.0134,0.0622,Effectiveness,-0.21543408360128619
Return On Investment (TTM),-0.0154,0.0732,Effectiveness,-0.2103825136612022
Revenue Per Employee (TTM),418287.0,403586.0,Effectiveness,1.036425941435035
Total Debt/Total Capital (MRQ),0.36469999999999997,0.3161,Financial strength,1.1537488136665612
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0125,Financial strength,0.16799999999999998
Quick Ratio (MRQ),5.82,2.25,Financial strength,2.586666666666667
Interest Coverage (MRQ),-44.83,14.99,Financial strength,-2.990660440293529
