,NVRO
% Above Low,0.2787
% Held by Institutions,0.9684
52-Wk Range,['34.70 - 98.12']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,36.12
Bid Size,100.0
Closing Price,44.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.37
Ex-dividend Date,No dividend
Historical Volatility,0.672
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,44.37
Short Interest,0.0943
Today's Open,
Volume,88283.0
Volume 10-day Avg,380944.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2637075718015667
Growth 1yr High Est,-1.0515151515151515
Growth 1yr Consensus Est,-0.6576113616583591
Growth 2yr Low Est,-0.15490343129085427
Growth 2yr High Est,-5.525757575757575
Growth 2yr Consensus Est,-2.840330503524215
Growth 5yr Low Est,0.022630326381636756
Growth 5yr High Est,-3.553036696074671
Growth 5yr Consensus Est,-1.765203184846517
Growth 5yr Actual/Est,-0.06218916693539106
Growth 3yr Historic,0.06481336873340618
Price/Earnings (TTM),
Price/Sales (TTM),3.977
Price/Book (MRQ),4.83724
Price/Cash Flow (TTM),
5yr Low,34.7
5yr High,188.14
5yr Avg Return,0.17858333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.1110718
Dividend Growth 5yr,
Short Int Current Month,3262242.0
Short Int Prev Month,3334732.0
Short Int Pct of Float,0.0943281
Days to Cover,4.50388
Float,34.57526
Shares Outstanding,35.43009
Institutions Holding Shares,238.0
FCF Growth 5yr,-0.5715818348847995
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6837000000000001
Operating Profit Margin (TTM),-0.0018
Net Profit Margin (TTM),-0.0201
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.0851
EPS Growth (TTM),0.8829000000000001
Revenue Growth (MRQ),-0.036000000000000004
Revenue Growth (TTM),0.0036
Return On Equity (TTM),-0.024700000000000003
Return On Assets (TTM),-0.0134
Return On Investment (TTM),-0.0154
Revenue Per Employee (TTM),418287.0
Total Debt/Total Capital (MRQ),0.36469999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),5.82
Interest Coverage (MRQ),-44.83
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-06-18 00:00:00
theStreet since,2021-08-06 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
