,EOG
Price/Earnings (TTM),11.20271
Price/Sales (TTM),3.35745
Price/Book (MRQ),3.51229
Price/Cash Flow (TTM),7.58856
5yr Low,27.0
5yr High,150.88
5yr Avg Return,0.1364
EPS Growth 5yr,
Revenue Growth 5yr,0.2012923
Dividend Growth 5yr,0.24292940000000002
Short Int Current Month,7375334.0
Short Int Prev Month,5277379.0
Short Int Pct of Float,0.012616099999999998
Days to Cover,1.68038
Float,584.7684
Shares Outstanding,587.3895
Institutions Holding Shares,1639.0
% Held by Institutions,0.871491
FCF Growth 5yr,1.1900099998013631
