,EOG
% Below High,0.0546
% Held by Institutions,0.8715
52-Wk Range,['80.67 - 150.88']
Annual Dividend $,3.3
Annual Dividend %,0.0231
Ask,152.11
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,142.2
Bid Size,500.0
Closing Price,142.64
Day Change $,-0.01
Day Change %,-0.0001
Day High,144.91
Day Low,142.44
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",12.73
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.45
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,83.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.2
Prev Close,142.65
Short Interest,0.0126
Today's Open,142.92
Volume,1430753.0
Volume 10-day Avg,2958472.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.8650472334682862
Growth 1yr High Est,0.6688963210702341
Growth 1yr Consensus Est,0.7669717772692601
Growth 2yr Low Est,0.33447730703805045
Growth 2yr High Est,0.5017828298737944
Growth 2yr Consensus Est,0.41813006845592243
Growth 5yr Low Est,0.3657858690153933
Growth 5yr High Est,0.37905330363841494
Growth 5yr Consensus Est,0.3724195863269041
Growth 5yr Actual/Est,1.235691985860646
Growth 3yr Historic,1.0476082411839136
Price/Earnings (TTM),11.20271
Price/Sales (TTM),3.35745
Price/Book (MRQ),3.51229
Price/Cash Flow (TTM),7.58856
5yr Low,27.0
5yr High,150.88
5yr Avg Return,0.1364
EPS Growth 5yr,
Revenue Growth 5yr,0.2012923
Dividend Growth 5yr,0.24292940000000002
Short Int Current Month,7375334.0
Short Int Prev Month,5277379.0
Short Int Pct of Float,0.012616099999999998
Days to Cover,1.68038
Float,584.7684
Shares Outstanding,587.3895
Institutions Holding Shares,1639.0
FCF Growth 5yr,1.1900099998013631
"Price/Earnings (TTM, GAAP)",11.2
"PEG Ratio (TTM, GAAP)",1.06
Gross Profit Margin (TTM),0.6363000000000001
Operating Profit Margin (TTM),0.38630000000000003
Net Profit Margin (TTM),0.2992
Annual Dividend Yield,0.023100000000000002
Dividend Change %,0.325
"Dividend Growth Rate, 3 Years",0.34880000000000005
EPS Growth (MRQ),0.2774
EPS Growth (TTM),1.462
Revenue Growth (MRQ),0.041600000000000005
Revenue Growth (TTM),0.6076
Return On Equity (TTM),0.3274
Return On Assets (TTM),0.1923
Return On Investment (TTM),0.2182
Revenue Per Employee (TTM),8912500.0
Total Debt/Total Capital (MRQ),0.1757
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.62
Interest Coverage (MRQ),92.17
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-05 00:00:00
