,NVEE
% Below High,0.060700000000000004
% Held by Institutions,0.6701
52-Wk Range,['97.58 - 154.97']
Annual Dividend $,
Annual Dividend %,
Ask,152.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,135.91
Bid Size,100.0
Closing Price,145.56
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.77
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.6
Prev Close,145.56
Short Interest,0.028399999999999998
Today's Open,
Volume,18026.0
Volume 10-day Avg,60753.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.1089385474860336
Growth 1yr High Est,0.5425531914893618
Growth 1yr Consensus Est,0.3257458694876977
Growth 2yr Low Est,0.09603098658936438
Growth 2yr High Est,0.32300073367571536
Growth 2yr Consensus Est,0.20951586013253987
Growth 5yr Low Est,0.07857975661756622
Growth 5yr High Est,0.17045353488193482
Growth 5yr Consensus Est,0.12451664574975052
Growth 5yr Actual/Est,0.16953488668175798
Growth 3yr Historic,0.13495002865136352
Price/Earnings (TTM),38.60475
Price/Sales (TTM),2.88334
Price/Book (MRQ),3.31923
Price/Cash Flow (TTM),22.18457
5yr Low,27.0
5yr High,154.97
5yr Avg Return,0.21405000000000002
EPS Growth 5yr,0.214651
Revenue Growth 5yr,0.2584416
Dividend Growth 5yr,
Short Int Current Month,352261.0
Short Int Prev Month,392630.0
Short Int Pct of Float,0.028421599999999998
Days to Cover,5.0742
Float,12.38171
Shares Outstanding,15.55998
Institutions Holding Shares,288.0
FCF Growth 5yr,0.013213854435172015
"Price/Earnings (TTM, GAAP)",38.6
"PEG Ratio (TTM, GAAP)",2.66
Gross Profit Margin (TTM),0.49710000000000004
Operating Profit Margin (TTM),0.09519999999999999
Net Profit Margin (TTM),0.0731
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07400000000000001
EPS Growth (TTM),0.5033
Revenue Growth (MRQ),0.006600000000000001
Revenue Growth (TTM),0.15630000000000002
Return On Equity (TTM),0.0893
Return On Assets (TTM),0.059699999999999996
Return On Investment (TTM),0.0708
Revenue Per Employee (TTM),229147.0
Total Debt/Total Capital (MRQ),0.1066
Change in Debt/Total Capital Quarter over Quarter,-0.0051
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-01 00:00:00
theStreet since,2021-07-30 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
