,NVEE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.6,41.93,Valuation,0.9205819222513714
Price/Sales (TTM),2.88,1.42,Valuation,2.028169014084507
Price/Book (MRQ),3.32,3.73,Valuation,0.8900804289544235
"PEG Ratio (TTM, GAAP)",2.66,0.71,Valuation,3.746478873239437
Gross Profit Margin (TTM),0.49710000000000004,0.0432,Profitability,11.506944444444445
Operating Profit Margin (TTM),0.09519999999999999,0.0655,Profitability,1.4534351145038167
Net Profit Margin (TTM),0.0731,0.041299999999999996,Profitability,1.7699757869249395
Annual Dividend Yield,,0.0045000000000000005,Dividend,
Dividend Change %,,0.127,Dividend,
"Dividend Growth Rate, 3 Years",,0.0315,Dividend,
EPS Growth (MRQ),-0.07400000000000001,0.0989,Gowth rates,-0.7482305358948433
EPS Growth (TTM),0.5033,0.5874,Gowth rates,0.8568266939053455
Revenue Growth (MRQ),0.006600000000000001,0.233,Gowth rates,0.02832618025751073
Revenue Growth (TTM),0.15630000000000002,0.2229,Gowth rates,0.7012113055181697
Return On Equity (TTM),0.0893,0.1057,Effectiveness,0.8448438978240302
Return On Assets (TTM),0.059699999999999996,0.0404,Effectiveness,1.4777227722772277
Return On Investment (TTM),0.0708,0.0584,Effectiveness,1.2123287671232876
Revenue Per Employee (TTM),229147.0,447825.0,Effectiveness,0.5116887176910624
Total Debt/Total Capital (MRQ),0.1066,0.40990000000000004,Financial strength,0.2600634301049036
Change in Debt/Total Capital Quarter over Quarter,-0.0051,0.004,Financial strength,-1.2750000000000001
Quick Ratio (MRQ),,1.07,Financial strength,
Interest Coverage (MRQ),18.27,12.43,Financial strength,1.4698310539018504
