,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,35.7,46.37,13.96,,,,,
low,16.71,12.9,6.43,,,,,
change,0.0728,-0.5255,-0.46770000000000006,,,,,
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,78.0,80.0,80.0,82.0,Balance Sheet
Short Term Investments,,,,211.0,211.0,228.0,235.0,Balance Sheet
Cash and Short Term Invs,,,,289.0,291.0,308.0,318.0,Balance Sheet
"Total Receivables, Net",,,,43.0,49.0,49.0,51.0,Balance Sheet
Prepaid Expenses,,,,11.0,10.0,10.0,8.0,Balance Sheet
"Other Curr. Assets, Total",,,,18.0,20.0,20.0,21.0,Balance Sheet
Total Current Assets,,,,361.0,370.0,387.0,397.0,Balance Sheet
Buildings,,,,3.0,3.0,,,Balance Sheet
Land/Improvements,,,,0.0,0.0,,,Balance Sheet
Machinery/Equipment,,,,7.0,7.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,,9.0,8.0,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,19.0,19.0,,,Balance Sheet
Accumulated Depreciation,,,,-7.0,-7.0,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,12.0,11.0,10.0,8.0,Balance Sheet
"Goodwill, Net",,,,96.0,95.0,94.0,93.0,Balance Sheet
Intangibles - Gross,,,,47.0,47.0,46.0,45.0,Balance Sheet
Accum. Intangible Amort.,,,,-17.0,-20.0,-24.0,-27.0,Balance Sheet
Intangibles - Net,,,,30.0,26.0,22.0,18.0,Balance Sheet
Long Term Investments,,,,73.0,66.0,51.0,33.0,Balance Sheet
Other Long Term Assets,,,,2.0,1.0,1.0,2.0,Balance Sheet
Total Assets,,,,604.0,602.0,596.0,583.0,Balance Sheet
Accounts Payable,,,,9.0,8.0,10.0,12.0,Balance Sheet
Accrued Expenses,,,,30.0,28.0,30.0,25.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,119.0,131.0,143.0,143.0,Balance Sheet
Income Taxes Payable,,,,,2.0,,,Balance Sheet
"Other Curr. Lblts, Total",,,,119.0,133.0,143.0,143.0,Balance Sheet
Total Current Liabilities,,,,158.0,169.0,182.0,181.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,14.0,14.0,13.0,14.0,Balance Sheet
Total Liabilities,,,,172.0,183.0,195.0,195.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,922.0,944.0,965.0,989.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-488.0,-521.0,-556.0,-592.0,Balance Sheet
"Other Equity, Total",,,,-2.0,-4.0,-8.0,-9.0,Balance Sheet
Total Equity,,,,432.0,419.0,401.0,389.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,604.0,602.0,596.0,583.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,112.0,114.0,116.0,118.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,62016.0,67049.0,67855.0,74108.0,Income Statement
"Cost of Revenue, Total",,,,20287.0,22672.0,24064.0,25892.0,Income Statement
Selling/Gen/Admin Expense,,,,41030.0,41736.0,45359.0,45787.0,Income Statement
Labor & Related Expense,,,,6305.0,7899.0,6676.0,11066.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,47335.0,49635.0,52035.0,56853.0,Income Statement
Research & Development,,,,25167.0,24642.0,25961.0,27379.0,Income Statement
Depreciation/Amortization,,,,150.0,150.0,150.0,150.0,Income Statement
Impair-Assets Held for Use,,,,,0.0,,,Income Statement
Other Unusual Expnse (In),,,,489.0,418.0,474.0,413.0,Income Statement
Unusual Expense (Income),,,,489.0,418.0,474.0,413.0,Income Statement
Total Operating Expense,,,,93428.0,97517.0,102684.0,110687.0,Income Statement
Total Operating Income,,,,-31412.0,-30468.0,-34829.0,-36579.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-44.0,-41.0,-29.0,-6.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-19.0,-24.0,631.0,1149.0,Income Statement
"Other, Net",,,,-19.0,-24.0,631.0,1149.0,Income Statement
Income Before Tax,,,,-31475.0,-30533.0,-34227.0,-35436.0,Income Statement
Income Tax - Total,,,,-639.0,3033.0,523.0,444.0,Income Statement
Income After Tax,,,,-30836.0,-33566.0,-34750.0,-35880.0,Income Statement
Net Inc Before Extra Items,,,,-30836.0,-33566.0,-34750.0,-35880.0,Income Statement
Total Net Income,,,,-30836.0,-33566.0,-34750.0,-35880.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-30836.0,-33566.0,-34750.0,-35880.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-30836.0,-33566.0,-34750.0,-35880.0,Income Statement
Basic/Primary Weighted Average Shares,,,,110409.0,112343.0,114324.0,116610.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.28,-0.3,-0.3,-0.31,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.28,-0.3,-0.3,-0.31,Income Statement
Diluted Weighted Average Shares,,,,110409.0,112343.0,114324.0,116610.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.28,-0.3,-0.3,-0.31,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.28,-0.3,-0.3,-0.31,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,44.0,41.0,29.0,6.0,Income Statement
"Depreciat/Amort, Suppl",,,,518.0,546.0,574.0,536.0,Income Statement
Total Special Items,,,,489.0,418.0,474.0,413.0,Income Statement
Normalzd Income Before Tax,,,,-30986.0,-30115.0,-33753.0,-35023.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,171.0,146.0,166.0,145.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-468.0,3179.0,689.0,589.0,Income Statement
Normalized Income After Tax,,,,-30518.0,-33294.0,-34442.0,-35612.0,Income Statement
Normalzd Inc Avail to Common,,,,-30518.0,-33294.0,-34442.0,-35612.0,Income Statement
Basic Normalized EPS,,,,-0.28,-0.3,-0.3,-0.31,Income Statement
Diluted Normalized EPS,,,,-0.28,-0.3,-0.3,-0.31,Income Statement
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,-89799.0,-123365.0,-34750.0,-70630.0,Cash Flow
Depreciation/Depletion,,,,9889.0,14181.0,4283.0,8519.0,Cash Flow
Unusual Items,,,,2156.0,3070.0,790.0,1367.0,Cash Flow
Other Non-Cash Items,,,,51760.0,74645.0,18801.0,43871.0,Cash Flow
Non-Cash Items,,,,53916.0,77715.0,19591.0,45238.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,831.0,933.0,728.0,1086.0,Cash Flow
"Cash Interest Pd, Suppl",,,,63.0,84.0,21.0,42.0,Cash Flow
Accounts Receivable,,,,1910.0,-4194.0,757.0,-1453.0,Cash Flow
Prepaid Expenses,,,,-133.0,714.0,-37.0,1549.0,Cash Flow
Other Assets,,,,1104.0,850.0,180.0,-999.0,Cash Flow
Accounts Payable,,,,4283.0,2825.0,2181.0,4695.0,Cash Flow
Accrued Expenses,,,,-1565.0,-2924.0,-1320.0,-4953.0,Cash Flow
Changes in Working Capital,,,,6048.0,978.0,9444.0,3434.0,Cash Flow
Total Cash from Operations,,,,-19946.0,-30491.0,-1432.0,-13439.0,Cash Flow
Purchase of Fixed Assets,,,,-1799.0,-2258.0,-371.0,-386.0,Cash Flow
Purchase/Acq of Intangibles,,,,0.0,-182.0,-187.0,-605.0,Cash Flow
Capital Expenditures,,,,-1799.0,-2440.0,-558.0,-991.0,Cash Flow
Acquisition of Business,,,,-40340.0,-40340.0,,0.0,Cash Flow
Sale/Maturity of Investment,,,,73438.0,144239.0,46942.0,123851.0,Cash Flow
Purchase of Investments,,,,-359587.0,-424724.0,-51683.0,-118477.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-326489.0,-320825.0,-4741.0,5374.0,Cash Flow
Total Cash from Investing,,,,-328288.0,-323265.0,-5299.0,4383.0,Cash Flow
Financing Cash Flow Items,,,,4632.0,7884.0,0.0,2375.0,Cash Flow
"Common Stock, Net",,,,0.0,0.0,,,Cash Flow
"Preferred Stock, Net",,,,,0.0,,,Cash Flow
Options Exercised,,,,17974.0,22326.0,6954.0,9747.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,17974.0,22326.0,6954.0,9747.0,Cash Flow
Long Term Debt Issued,,,,0.0,0.0,,,Cash Flow
Long Term Debt Reduction,,,,0.0,0.0,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,0.0,0.0,,,Cash Flow
Total Cash From Financing,,,,22606.0,30210.0,6954.0,12122.0,Cash Flow
Foreign Exchange Effects,,,,-174.0,-608.0,-472.0,-841.0,Cash Flow
Net Change in Cash,,,,-325802.0,-324154.0,-249.0,2225.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,404440.0,404440.0,80286.0,80286.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,78638.0,80286.0,80037.0,82511.0,Cash Flow
"Depreciation, Supplemental",,,,9889.0,14181.0,4283.0,8519.0,Cash Flow
Free Cash Flow,,,,-21745.0,-32931.0,-1990.0,-14430.0,
FCF Growth,,,,,0.5144171073810071,-0.9395706173514318,6.251256281407035,
