,SUMO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),3.21,9.39,Valuation,0.34185303514376997
Price/Book (MRQ),2.24,12.63,Valuation,0.17735550277117973
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6572,0.7206,Profitability,0.9120177629752984
Operating Profit Margin (TTM),-0.4918,0.2172,Profitability,-2.2642725598526705
Net Profit Margin (TTM),-0.49820000000000003,0.1553,Profitability,-3.2079845460399232
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.0123,-0.0752,Gowth rates,0.16356382978723405
EPS Growth (TTM),-0.003,-0.2824,Gowth rates,0.010623229461756374
Revenue Growth (MRQ),0.0922,0.15560000000000002,Gowth rates,0.5925449871465295
Revenue Growth (TTM),0.2371,0.1906,Gowth rates,1.2439664218258133
Return On Equity (TTM),-0.32310000000000005,0.2189,Effectiveness,-1.4760164458656924
Return On Assets (TTM),-0.2279,0.10740000000000001,Effectiveness,-2.121973929236499
Return On Investment (TTM),-0.3125,0.1387,Effectiveness,-2.253064167267484
Revenue Per Employee (TTM),287410.0,667721.0,Effectiveness,0.43043426820483405
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-6027.67,0.28,Financial strength,-21527.392857142855
