,SUMO
% Above Low,0.1393
% Held by Institutions,0.7284999999999999
52-Wk Range,['6.43 - 16.44']
Annual Dividend $,
Annual Dividend %,
Ask,7.33
Ask Size,1500.0
B/A Ratio,0.13333333333333333
B/A Size,200x1500
Beta,
Bid,7.32
Bid Size,200.0
Day Change $,-0.02
Day Change %,-0.0027
Day High,7.54
Day Low,7.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),100.0
Last (time),3:39p ET 11/28/22
Market Cap,868.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.34
Price,7.32
Short Interest,0.042699999999999995
Today's Open,7.29
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-05 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08771929824561409
Growth 2yr High Est,-0.16666666666666674
Growth 2yr Consensus Est,-0.03947368421052633
Growth 5yr Low Est,0.08771929824561409
Growth 5yr High Est,-0.16666666666666674
Growth 5yr Consensus Est,-0.03947368421052633
Growth 5yr Actual/Est,-0.051381432757162816
Growth 3yr Historic,-0.10447761194029852
Price/Earnings (TTM),
Price/Sales (TTM),3.21049
Price/Book (MRQ),2.23566
Price/Cash Flow (TTM),
5yr Low,6.43
5yr High,46.37
5yr Avg Return,-0.30679999999999996
Short Int Current Month,4767813.0
Short Int Prev Month,5569003.0
Short Int Pct of Float,0.0426797
Days to Cover,5.6427
Float,113.7566
Shares Outstanding,118.5469
Institutions Holding Shares,222.0
FCF Growth 5yr,1.9420342571455367
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6572
Operating Profit Margin (TTM),-0.4918
Net Profit Margin (TTM),-0.49820000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0123
EPS Growth (TTM),-0.003
Revenue Growth (MRQ),0.0922
Revenue Growth (TTM),0.2371
Return On Equity (TTM),-0.32310000000000005
Return On Assets (TTM),-0.2279
Return On Investment (TTM),-0.3125
Revenue Per Employee (TTM),287410.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6027.67
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-12-07 00:00:00
theStreet since,2021-12-07 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
