,CMCSA
% Above Low,0.2557
% Held by Institutions,0.8245999999999999
52-Wk Range,['28.39 - 53.32']
Annual Dividend $,1.08
Annual Dividend %,0.030299999999999997
Ask,35.82
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,35.61
Bid Size,400.0
Closing Price,35.65
Day Change $,0.12
Day Change %,0.0034000000000000002
Day High,35.98
Day Low,35.49
Dividend Pay Date,2023-01-25 00:00:00
"EPS (TTM, GAAP)",1.15
Ex-dividend,2023-01-03 00:00:00
Ex-dividend Date,01/03/23
Historical Volatility,0.306
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,154.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.04
Prev Close,35.53
Short Interest,0.0174
Today's Open,35.63
Volume,10810902.0
Volume 10-day Avg,22915859.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.1166666666666667
Growth 1yr High Est,0.2500000000000002
Growth 1yr Consensus Est,0.18333333333333346
Growth 2yr Low Est,0.052363184079602
Growth 2yr High Est,0.13343373493975907
Growth 2yr Consensus Est,0.09289845950968054
Growth 5yr Low Est,0.07489635157545604
Growth 5yr High Est,0.08865797667513964
Growth 5yr Consensus Est,0.08177716412529784
Growth 5yr Actual/Est,0.05908890912503598
Growth 3yr Historic,0.017853426854198023
Price/Earnings (TTM),31.03562
Price/Sales (TTM),1.27158
Price/Book (MRQ),1.91952
Price/Cash Flow (TTM),8.12834
5yr Low,28.39
5yr High,61.8
5yr Avg Return,0.02388333333333334
EPS Growth 5yr,0.11314669999999999
Revenue Growth 5yr,0.0758853
Dividend Growth 5yr,0.1270092
Short Int Current Month,74357068.0
Short Int Prev Month,73600479.0
Short Int Pct of Float,0.0173736
Days to Cover,2.87084
Float,4279.985
Shares Outstanding,4323.409
Institutions Holding Shares,2679.0
FCF Growth 5yr,0.12384147536589378
"Price/Earnings (TTM, GAAP)",31.04
"PEG Ratio (TTM, GAAP)",3.44
Gross Profit Margin (TTM),0.6840999999999999
Operating Profit Margin (TTM),0.1182
Net Profit Margin (TTM),0.0415
Annual Dividend Yield,0.030299999999999997
Dividend Change %,0.087
"Dividend Growth Rate, 3 Years",0.0958
EPS Growth (MRQ),-2.3864
EPS Growth (TTM),-0.6301
Revenue Growth (MRQ),-0.005600000000000001
Revenue Growth (TTM),0.0655
Return On Equity (TTM),0.061399999999999996
Return On Assets (TTM),0.0189
Return On Investment (TTM),0.0212
Revenue Per Employee (TTM),641328.0
Total Debt/Total Capital (MRQ),0.5455
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.1
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-10 00:00:00
cfra since,2021-04-29 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-01 00:00:00
