,CMCSA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.04,15.8,Valuation,1.9645569620253163
Price/Sales (TTM),1.27,2.92,Valuation,0.4349315068493151
Price/Book (MRQ),1.92,3.23,Valuation,0.5944272445820433
"PEG Ratio (TTM, GAAP)",3.44,10.23,Valuation,0.3362658846529814
Gross Profit Margin (TTM),0.6840999999999999,0.5389,Profitability,1.269437743551679
Operating Profit Margin (TTM),0.1182,0.14,Profitability,0.8442857142857142
Net Profit Margin (TTM),0.0415,0.1103,Profitability,0.3762466001813237
Annual Dividend Yield,0.030299999999999997,0.0176,Dividend,1.7215909090909087
Dividend Change %,0.087,0.056900000000000006,Dividend,1.5289982425307553
"Dividend Growth Rate, 3 Years",0.0958,0.0675,Dividend,1.4192592592592592
EPS Growth (MRQ),-2.3864,0.7041,Gowth rates,-3.389291293850306
EPS Growth (TTM),-0.6301,0.0154,Gowth rates,-40.91558441558441
Revenue Growth (MRQ),-0.005600000000000001,0.1423,Gowth rates,-0.039353478566409
Revenue Growth (TTM),0.0655,0.1115,Gowth rates,0.5874439461883408
Return On Equity (TTM),0.061399999999999996,0.1409,Effectiveness,0.43577004968062455
Return On Assets (TTM),0.0189,0.0388,Effectiveness,0.48711340206185566
Return On Investment (TTM),0.0212,0.049800000000000004,Effectiveness,0.4257028112449799
Revenue Per Employee (TTM),641328.0,648551.0,Effectiveness,0.9888628650638115
Total Debt/Total Capital (MRQ),0.5455,0.5946,Financial strength,0.9174234779683821
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0004,Financial strength,1.0
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),5.1,5.53,Financial strength,0.9222423146473778
