,PXD
% Below High,0.1452
% Held by Institutions,0.9029
52-Wk Range,['166.97 - 288.46']
Annual Dividend $,26.06
Annual Dividend %,0.1025
Ask,246.81
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.5
Bid,246.53
Bid Size,100.0
Day Change $,-7.56
Day Change %,-0.0297
Day High,249.02
Day Low,245.39
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",28.03
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.40299999999999997
Last (size),380.0
Last (time),11:58a ET 11/28/22
Market Cap,58.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.07
Prev Close,254.14
Price,246.58
Short Interest,0.024399999999999998
Today's Open,248.63
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,1.7920978363123234
Growth 1yr High Est,1.8607954545454546
Growth 1yr Consensus Est,1.826446645428889
Growth 2yr Low Est,0.697935710608992
Growth 2yr High Est,0.8572845197255574
Growth 2yr Consensus Est,0.7776101151672747
Growth 5yr Low Est,0.4753842858993969
Growth 5yr High Est,0.611074692295211
Growth 5yr Consensus Est,0.543229489097304
Growth 5yr Actual/Est,1.4977938643002917
Growth 3yr Historic,1.1797259824676487
Price/Earnings (TTM),9.06725
Price/Sales (TTM),2.43629
Price/Book (MRQ),2.63271
Price/Cash Flow (TTM),6.24117
5yr Low,48.62
5yr High,288.46
5yr Avg Return,0.12855
EPS Growth 5yr,
Revenue Growth 5yr,0.3848038
Dividend Growth 5yr,1.433695
Short Int Current Month,5769267.0
Short Int Prev Month,5941796.0
Short Int Pct of Float,0.0244442
Days to Cover,2.65874
Float,236.0665
Shares Outstanding,237.5987
Institutions Holding Shares,1477.0
FCF Growth 5yr,0.4948681723174225
"Price/Earnings (TTM, GAAP)",9.07
"PEG Ratio (TTM, GAAP)",0.42
Gross Profit Margin (TTM),0.5476
Operating Profit Margin (TTM),0.42340000000000005
Net Profit Margin (TTM),0.2876
Annual Dividend Yield,0.10250000000000001
Dividend Change %,2.1045
"Dividend Growth Rate, 3 Years",1.7738999999999998
EPS Growth (MRQ),-0.1493
EPS Growth (TTM),4.5071
Revenue Growth (MRQ),-0.1353
Revenue Growth (TTM),0.7320000000000001
Return On Equity (TTM),0.30829999999999996
Return On Assets (TTM),0.1945
Return On Investment (TTM),0.2207
Revenue Per Employee (TTM),12828680.0
Total Debt/Total Capital (MRQ),0.18510000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),86.07
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-07 00:00:00
theStreet since,2021-10-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2017-05-04 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
