,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.42,43.0,15.26,,,,,
low,17.5,13.84,5.97,,,,,
change,0.1233,-0.3086,-0.46659999999999996,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,2131.0,2311.0,915.0,826.0,Balance Sheet
"Total Receivables, Net",,,,115.0,101.0,,,Balance Sheet
Prepaid Expenses,,,,169.0,299.0,,,Balance Sheet
Total Current Assets,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,822.0,842.0,871.0,891.0,Balance Sheet
Accumulated Depreciation,,,,-567.0,-582.0,-600.0,-616.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,682.0,674.0,672.0,656.0,Balance Sheet
"Goodwill, Net",,,,1297.0,1286.0,,,Balance Sheet
Intangibles - Net,,,,5386.0,6410.0,6658.0,7260.0,Balance Sheet
Long Term Investments,,,,0.0,,,,Balance Sheet
Note Rcvble - Long Term,,,,21645.0,12516.0,13789.0,10606.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,572.0,556.0,521.0,514.0,Balance Sheet
Restricted Cash - LT,,,,80.0,77.0,69.0,66.0,Balance Sheet
Other Assets,,,,698.0,1017.0,2453.0,2674.0,Balance Sheet
"Other Assets, Total",,,,698.0,1017.0,2453.0,2674.0,Balance Sheet
Total Assets,,,,32775.0,25248.0,25077.0,22601.0,Balance Sheet
Accounts Payable,,,,272.0,289.0,234.0,204.0,Balance Sheet
Accrued Expenses,,,,482.0,469.0,458.0,439.0,Balance Sheet
Notes Payable/ST Debt,,,,16566.0,9659.0,10178.0,7196.0,Balance Sheet
"Other Curr. Lblts, Total",,,,12.0,8.0,16.0,9.0,Balance Sheet
Total Current Liabilities,,,,,,,,Balance Sheet
Total Long Term Debt,,,,4119.0,4045.0,4047.0,4048.0,Balance Sheet
Total Debt,,,,20685.0,13704.0,14225.0,11244.0,Balance Sheet
Minority Interest,,,,9094.0,8154.0,8238.0,8353.0,Balance Sheet
Reserves,,,,79.0,81.0,90.0,106.0,Balance Sheet
Other Liabilities,,,,1485.0,1996.0,1282.0,1687.0,Balance Sheet
"Other Liabilities, Total",,,,1564.0,2077.0,1372.0,1794.0,Balance Sheet
Total Liabilities,,,,32109.0,24701.0,24542.0,22042.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,288.0,241.0,226.0,242.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,378.0,306.0,309.0,316.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,666.0,547.0,535.0,559.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,32775.0,25248.0,25077.0,22601.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,126.0,120.0,116.0,121.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,1849.0,1849.0,1849.0,1849.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,1975.0,1969.0,1965.0,1970.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,2649.0,2712.0,1435.0,1341.0,Income Statement
Selling/Gen/Admin Expense,,,,316.0,276.0,230.0,204.0,Income Statement
Labor & Related Expense,,,,804.0,854.0,754.0,671.0,Income Statement
Advertising Expense,,,,306.0,328.0,232.0,211.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,1425.0,1458.0,1215.0,1086.0,Income Statement
Depreciation/Amortization,,,,19.0,21.0,25.0,24.0,Income Statement
