,RKT
% Above Low,0.2672
% Held by Institutions,0.6204999999999999
52-Wk Range,['5.97 - 16.65']
Annual Dividend $,
Annual Dividend %,
Ask,7.57
Ask Size,4600.0
B/A Ratio,0.1956521739130435
B/A Size,900x4600
Beta,
Bid,7.57
Bid Size,900.0
Day Change $,-0.165
Day Change %,-0.0213
Day High,7.75
Day Low,7.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.04
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),281.0
Last (time),12:52p ET 11/28/22
Market Cap,921.3M
"P/E Ratio (TTM, GAAP)",7.4
Prev Close,7.73
Price,7.57
Short Interest,0.31829999999999997
Today's Open,7.66
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.0571428571428572
Growth 1yr High Est,-1.0253164556962024
Growth 1yr Consensus Est,-1.0412296564195298
Growth 2yr Low Est,0.09642857142857164
Growth 2yr High Est,-3.095991561181435
Growth 2yr Consensus Est,-1.4997814948764316
Growth 5yr Low Est,0.09642857142857164
Growth 5yr High Est,-3.095991561181435
Growth 5yr Consensus Est,-1.4997814948764314
Growth 5yr Actual/Est,-0.9040556285243322
Growth 3yr Historic,-0.15004055150040554
Price/Earnings (TTM),7.4045
Price/Sales (TTM),1.87205
Price/Book (MRQ),27.26815
Price/Cash Flow (TTM),7.09451
5yr Low,5.97
5yr High,43.0
5yr Avg Return,-0.2173
EPS Growth 5yr,-0.3361493
Revenue Growth 5yr,0.2194344
Dividend Growth 5yr,
Short Int Current Month,36464977.0
Short Int Prev Month,34673806.0
Short Int Pct of Float,0.318349
Days to Cover,8.25962
Float,116.1979
Shares Outstanding,1970.658
Institutions Holding Shares,270.0
FCF Growth 5yr,0.11724913926928326
"Price/Earnings (TTM, GAAP)",7.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3519
Net Profit Margin (TTM),0.2529
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9487000000000001
EPS Growth (TTM),-0.3923
Revenue Growth (MRQ),-0.06570000000000001
Revenue Growth (TTM),-0.4685
Return On Equity (TTM),0.1775
Return On Assets (TTM),0.0705
Return On Investment (TTM),0.34759999999999996
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.5579
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.73
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-11-08 00:00:00
theStreet since,2021-11-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-04-01 00:00:00
marketEdge opinion since,
