,RKT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.4,10.14,Valuation,0.7297830374753451
Price/Sales (TTM),1.87,3.47,Valuation,0.5389048991354467
Price/Book (MRQ),27.27,9.31,Valuation,2.9291084854994627
"PEG Ratio (TTM, GAAP)",,4.08,Valuation,
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.3519,0.4806,Profitability,0.7322097378277153
Net Profit Margin (TTM),0.2529,0.36590000000000006,Profitability,0.6911724514894779
Annual Dividend Yield,,0.028300000000000002,Dividend,
Dividend Change %,,0.0643,Dividend,
"Dividend Growth Rate, 3 Years",,0.11699999999999999,Dividend,
EPS Growth (MRQ),0.9487000000000001,-0.049,Gowth rates,-19.36122448979592
EPS Growth (TTM),-0.3923,0.024900000000000002,Gowth rates,-15.755020080321284
Revenue Growth (MRQ),-0.06570000000000001,-0.0564,Gowth rates,1.1648936170212767
Revenue Growth (TTM),-0.4685,-0.10250000000000001,Gowth rates,4.570731707317073
Return On Equity (TTM),0.1775,0.1595,Effectiveness,1.1128526645768024
Return On Assets (TTM),0.0705,0.0533,Effectiveness,1.3227016885553469
Return On Investment (TTM),0.34759999999999996,0.07740000000000001,Effectiveness,4.49095607235142
Revenue Per Employee (TTM),,656704.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.5579,0.2934,Financial strength,1.9014996591683706
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003,-0.0009,Financial strength,2.8888888888888893
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),2.73,6.57,Financial strength,0.4155251141552511
