,RKT
Price/Earnings (TTM),7.4045
Price/Sales (TTM),1.87205
Price/Book (MRQ),27.26815
Price/Cash Flow (TTM),7.09451
5yr Low,5.97
5yr High,43.0
5yr Avg Return,-0.2173
EPS Growth 5yr,-0.3361493
Revenue Growth 5yr,0.2194344
Dividend Growth 5yr,
Short Int Current Month,36464977.0
Short Int Prev Month,34673806.0
Short Int Pct of Float,0.318349
Days to Cover,8.25962
Float,116.1979
Shares Outstanding,1970.658
Institutions Holding Shares,270.0
% Held by Institutions,0.62051
FCF Growth 5yr,0.11724913926928326
