,QGEN
% Below High,0.12359999999999999
% Held by Institutions,0.6779999999999999
52-Wk Range,['40.38 - 56.21']
Annual Dividend $,
Annual Dividend %,
Ask,49.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,49.22
Bid Size,100.0
Day Change $,0.29
Day Change %,0.0059
Day High,49.68
Day Low,49.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.01
Ex-dividend Date,No dividend
Historical Volatility,0.28500000000000003
Last (size),100.0
Last (time),12:05p ET 11/28/22
Market Cap,11.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.35
Prev Close,48.97
Price,49.26
Short Interest,0.025
Today's Open,49.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.07000000000000006
Growth 1yr High Est,0.0976744186046512
Growth 1yr Consensus Est,0.08383720930232563
Growth 2yr Low Est,-4.672897196261738e-05
Growth 2yr High Est,0.07214229404808836
Growth 2yr Consensus Est,0.03604778253806287
Growth 5yr Low Est,0.11494013916365373
Growth 5yr High Est,0.15933503591293308
Growth 5yr Consensus Est,0.13713758753829342
Growth 5yr Actual/Est,0.13462217174371627
Growth 3yr Historic,0.1840136607578468
Price/Earnings (TTM),24.35494
Price/Sales (TTM),5.00935
Price/Book (MRQ),3.35074
Price/Cash Flow (TTM),16.68285
5yr Low,25.04
5yr High,59.0
5yr Avg Return,0.09255000000000001
EPS Growth 5yr,0.4460653
Revenue Growth 5yr,0.10971080000000001
Dividend Growth 5yr,
Short Int Current Month,5681074.0
Short Int Prev Month,5190838.0
Short Int Pct of Float,0.0250368
Days to Cover,4.48093
Float,226.9086
Shares Outstanding,227.7
Institutions Holding Shares,634.0
FCF Growth 5yr,0.26488805603111265
"Price/Earnings (TTM, GAAP)",24.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6473000000000001
Operating Profit Margin (TTM),0.2696
Net Profit Margin (TTM),0.20829999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1482
EPS Growth (TTM),-0.2138
Revenue Growth (MRQ),-0.0308
Revenue Growth (TTM),-0.006500000000000001
Return On Equity (TTM),0.1462
Return On Assets (TTM),0.0738
Return On Investment (TTM),0.0928
Revenue Per Employee (TTM),369265.0
Total Debt/Total Capital (MRQ),0.40759999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.62
Interest Coverage (MRQ),50.52
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-12 00:00:00
theStreet since,2021-02-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-05 00:00:00
ford since,2022-04-01 00:00:00
marketEdge opinion since,
