,BX
% Above Low,0.13140000000000002
% Held by Institutions,0.6086
52-Wk Range,['79.55 - 149.51']
Annual Dividend $,4.94
Annual Dividend %,0.054900000000000004
Ask,90.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,89.5
Bid Size,200.0
Closing Price,90.0
Day Change $,1.48
Day Change %,0.0167
Day High,90.37
Day Low,88.04
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.533
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,66.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.41
Prev Close,88.52
Short Interest,0.027999999999999997
Today's Open,88.27
Volume,1452087.0
Volume 10-day Avg,5404295.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,1.294930875576037
Growth 1yr High Est,1.3060344827586206
Growth 1yr Consensus Est,1.3004826791673287
Growth 2yr Low Est,0.5711602169044843
Growth 2yr High Est,0.7371293909120206
Growth 2yr Consensus Est,0.6541448039082525
Growth 5yr Low Est,0.28558010845224213
Growth 5yr High Est,0.3685646954560103
Growth 5yr Consensus Est,0.32707240195412624
Growth 5yr Actual/Est,0.2673922910046742
Growth 3yr Historic,0.23679653679653673
Price/Earnings (TTM),25.41275
Price/Sales (TTM),8.68129
Price/Book (MRQ),8.41239
Price/Cash Flow (TTM),
5yr Low,26.88
5yr High,149.78
5yr Avg Return,0.2816
EPS Growth 5yr,0.39093559999999994
Revenue Growth 5yr,0.34411
Dividend Growth 5yr,0.1654993
Short Int Current Month,19514007.0
Short Int Prev Month,21291223.0
Short Int Pct of Float,0.0280276
Days to Cover,3.74097
Float,1207.583
Shares Outstanding,1213.092
Institutions Holding Shares,1868.0
FCF Growth 5yr,0.18969513874084964
"Price/Earnings (TTM, GAAP)",25.41
"PEG Ratio (TTM, GAAP)",1.96
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4936
Net Profit Margin (TTM),0.41240000000000004
Annual Dividend Yield,0.054900000000000004
Dividend Change %,0.8691
"Dividend Growth Rate, 3 Years",0.1384
EPS Growth (MRQ),1.0744
EPS Growth (TTM),-0.5136999999999999
Revenue Growth (MRQ),0.6816
Revenue Growth (TTM),-0.3848
Return On Equity (TTM),0.3111
Return On Assets (TTM),0.1308
Return On Investment (TTM),0.3103
Revenue Per Employee (TTM),3313906.0
Total Debt/Total Capital (MRQ),0.3273
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.35
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-02-05 00:00:00
cfra since,2020-04-02 00:00:00
ford since,2022-07-01 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-24 00:00:00
