,BX
Price/Earnings (TTM),25.41275
Price/Sales (TTM),8.68129
Price/Book (MRQ),8.41239
Price/Cash Flow (TTM),
5yr Low,26.88
5yr High,149.78
5yr Avg Return,0.2816
EPS Growth 5yr,0.39093559999999994
Revenue Growth 5yr,0.34411
Dividend Growth 5yr,0.1654993
Short Int Current Month,19514007.0
Short Int Prev Month,21291223.0
Short Int Pct of Float,0.0280276
Days to Cover,3.74097
Float,1207.583
Shares Outstanding,1213.092
Institutions Holding Shares,1868.0
% Held by Institutions,0.608646
FCF Growth 5yr,0.18969513874084964
