,ESE
% Below High,0.0074
% Held by Institutions,0.9676
52-Wk Range,['60.03 - 96.69']
Annual Dividend $,0.32
Annual Dividend %,0.0033
Ask,153.48
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,53.84
Bid Size,100.0
Closing Price,95.97
Day Change $,1.36
Day Change %,0.0144
Day High,96.1
Day Low,94.86
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",3.16
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.324
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.32
Prev Close,94.61
Short Interest,0.013000000000000001
Today's Open,94.86
Volume,43726.0
Volume 10-day Avg,81921.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.12140575079872207
Growth 1yr High Est,0.18670886075949356
Growth 1yr Consensus Est,0.1540573057791078
Growth 2yr Low Est,0.16041797511446076
Growth 2yr High Est,0.15468776371308013
Growth 2yr Consensus Est,0.15755286941377045
Growth 5yr Low Est,0.2029672646167735
Growth 5yr High Est,0.16878174146528577
Growth 5yr Consensus Est,0.18587450304102962
Growth 5yr Actual/Est,0.11718195200773426
Growth 3yr Historic,0.04444700912092217
Price/Earnings (TTM),30.3239
Price/Sales (TTM),2.89337
Price/Book (MRQ),2.36708
Price/Cash Flow (TTM),18.98832
5yr Low,54.35
5yr High,115.84
5yr Avg Return,0.07965
EPS Growth 5yr,0.0885819
Revenue Growth 5yr,0.0457193
Dividend Growth 5yr,-0.0559125
Short Int Current Month,331183.0
Short Int Prev Month,401181.0
Short Int Pct of Float,0.013002499999999998
Days to Cover,5.53013
Float,25.46076
Shares Outstanding,25.85257
Institutions Holding Shares,253.0
FCF Growth 5yr,2.848418162114429
"Price/Earnings (TTM, GAAP)",30.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3872
Operating Profit Margin (TTM),0.1294
Net Profit Margin (TTM),0.096
Annual Dividend Yield,0.0033000000000000004
Dividend Change %,-0.25
"Dividend Growth Rate, 3 Years",-0.09140000000000001
EPS Growth (MRQ),0.33740000000000003
EPS Growth (TTM),0.3075
Revenue Growth (MRQ),0.1709
Revenue Growth (TTM),0.1986
Return On Equity (TTM),0.0796
Return On Assets (TTM),0.0509
Return On Investment (TTM),0.0625
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.1274
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),24.09
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-15 00:00:00
researchTeam since,2022-11-18 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
