,HLF
% Above Low,0.1076
% Held by Institutions,0.9788
52-Wk Range,['15.33 - 45.80']
Annual Dividend $,
Annual Dividend %,
Ask,19.0
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,15.76
Bid Size,200.0
Closing Price,16.98
Day Change $,0.13
Day Change %,0.0077
Day High,17.05
Day Low,16.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.04
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.58
Prev Close,16.85
Short Interest,0.059500000000000004
Today's Open,16.81
Volume,329560.0
Volume 10-day Avg,955394.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2799145299145298
Growth 1yr High Est,-0.25
Growth 1yr Consensus Est,-0.2649572649572649
Growth 2yr Low Est,-0.298710974156078
Growth 2yr High Est,-0.06499999999999995
Growth 2yr Consensus Est,-0.18185548707803897
Growth 5yr Low Est,0.01641809782762141
Growth 5yr High Est,0.13573308270676698
Growth 5yr Consensus Est,0.0760755902671942
Growth 5yr Actual/Est,0.07273355636088236
Growth 3yr Historic,0.15167698954330827
Price/Earnings (TTM),5.58189
Price/Sales (TTM),0.31115
Price/Book (MRQ),
Price/Cash Flow (TTM),3.95917
5yr Low,15.33
5yr High,61.77
5yr Avg Return,-0.031166666666666686
EPS Growth 5yr,0.2228882
Revenue Growth 5yr,0.052711100000000004
Dividend Growth 5yr,
Short Int Current Month,5723969.0
Short Int Prev Month,5678627.0
Short Int Pct of Float,0.0594505
Days to Cover,3.38413
Float,96.62224
Shares Outstanding,97.88342
Institutions Holding Shares,284.0
FCF Growth 5yr,0.0668041542399052
"Price/Earnings (TTM, GAAP)",5.58
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7745000000000001
Operating Profit Margin (TTM),0.1012
Net Profit Margin (TTM),0.0571
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0507
EPS Growth (TTM),-0.2953
Revenue Growth (MRQ),-0.0701
Revenue Growth (TTM),-0.094
Return On Equity (TTM),
Return On Assets (TTM),0.1094
Return On Investment (TTM),0.17170000000000002
Revenue Per Employee (TTM),494593.0
Total Debt/Total Capital (MRQ),1.9780000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),4.37
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-10-01 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-24 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
