,HLF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.58,63.58,Valuation,0.08776344762503932
Price/Sales (TTM),0.31,4.04,Valuation,0.07673267326732673
Price/Book (MRQ),,11.21,Valuation,
"PEG Ratio (TTM, GAAP)",,2.15,Valuation,
Gross Profit Margin (TTM),0.7745000000000001,0.7009000000000001,Profitability,1.105007847053788
Operating Profit Margin (TTM),0.1012,0.1392,Profitability,0.7270114942528736
Net Profit Margin (TTM),0.0571,0.0978,Profitability,0.5838445807770961
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.0507,-0.2306,Gowth rates,0.21986123156981788
EPS Growth (TTM),-0.2953,-0.2964,Gowth rates,0.9962887989203779
Revenue Growth (MRQ),-0.0701,-0.0492,Gowth rates,1.4247967479674795
Revenue Growth (TTM),-0.094,0.046200000000000005,Gowth rates,-2.0346320346320343
Return On Equity (TTM),,0.289,Effectiveness,
Return On Assets (TTM),0.1094,0.0375,Effectiveness,2.9173333333333336
Return On Investment (TTM),0.17170000000000002,0.1008,Effectiveness,1.703373015873016
Revenue Per Employee (TTM),494593.0,706693.0,Effectiveness,0.6998696746677836
Total Debt/Total Capital (MRQ),1.9780000000000002,0.49520000000000003,Financial strength,3.994345718901454
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0046,Financial strength,0.08695652173913045
Quick Ratio (MRQ),0.86,1.34,Financial strength,0.6417910447761194
Interest Coverage (MRQ),4.37,14.91,Financial strength,0.2930918846411804
