,ATRC
% Above Low,0.4097
% Held by Institutions,0.9836
52-Wk Range,['32.51 - 77.00']
Annual Dividend $,
Annual Dividend %,
Ask,46.22
Ask Size,2100.0
B/A Ratio,0.047619047619047616
B/A Size,100x2100
Beta,1.3
Bid,45.44
Bid Size,100.0
Closing Price,45.83
Day Change $,0.45
Day Change %,0.009899999999999999
Day High,45.88
Day Low,45.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.23
Ex-dividend Date,No dividend
Historical Volatility,0.536
Last (size),83.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,45.38
Short Interest,0.0292
Today's Open,45.12
Volume,77272.0
Volume 10-day Avg,235231.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.04672897196261694
Growth 1yr High Est,0.16129032258064524
Growth 1yr Consensus Est,0.10400964727163109
Growth 2yr Low Est,-0.012349799732977285
Growth 2yr High Est,-0.11842891278375145
Growth 2yr Consensus Est,-0.06538935625836437
Growth 5yr Low Est,0.006080002094295683
Growth 5yr High Est,-0.03886561918257336
Growth 5yr Consensus Est,-0.01639280854413884
Growth 5yr Actual/Est,-1.070199767536777
Growth 3yr Historic,-0.5065425531914893
Price/Earnings (TTM),
Price/Sales (TTM),6.7544
Price/Book (MRQ),4.72673
Price/Cash Flow (TTM),
5yr Low,14.88
5yr High,89.18
5yr Avg Return,0.2272
EPS Growth 5yr,
Revenue Growth 5yr,0.120797
Dividend Growth 5yr,
Short Int Current Month,1318127.0
Short Int Prev Month,1207562.0
Short Int Pct of Float,0.029156
Days to Cover,3.1972
Float,45.20029
Shares Outstanding,46.50836
Institutions Holding Shares,286.0
FCF Growth 5yr,0.14550399900888508
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7474
Operating Profit Margin (TTM),-0.1617
Net Profit Margin (TTM),-0.1776
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.17550000000000002
EPS Growth (TTM),-2.3275
Revenue Growth (MRQ),-0.0152
Revenue Growth (TTM),0.21920000000000003
Return On Equity (TTM),-0.11939999999999999
Return On Assets (TTM),-0.09380000000000001
Return On Investment (TTM),-0.1035
Revenue Per Employee (TTM),360650.0
Total Debt/Total Capital (MRQ),0.1353
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),2.92
Interest Coverage (MRQ),-11.24
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-11-02 00:00:00
ford since,2022-03-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-02 00:00:00
theStreet since,
