,ATRC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),6.75,9.8,Valuation,0.6887755102040816
Price/Book (MRQ),4.73,10.31,Valuation,0.45877788554801163
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7474,0.6196,Profitability,1.2062621045836022
Operating Profit Margin (TTM),-0.1617,0.047,Profitability,-3.4404255319148938
Net Profit Margin (TTM),-0.1776,0.009300000000000001,Profitability,-19.096774193548384
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.17550000000000002,-0.4858,Gowth rates,-0.3612597776862907
EPS Growth (TTM),-2.3275,-0.2029,Gowth rates,11.471168063085264
Revenue Growth (MRQ),-0.0152,0.1161,Gowth rates,-0.13092161929371232
Revenue Growth (TTM),0.21920000000000003,0.18300000000000002,Gowth rates,1.1978142076502734
Return On Equity (TTM),-0.11939999999999999,0.1068,Effectiveness,-1.1179775280898876
Return On Assets (TTM),-0.09380000000000001,0.0622,Effectiveness,-1.5080385852090035
Return On Investment (TTM),-0.1035,0.0732,Effectiveness,-1.4139344262295082
Revenue Per Employee (TTM),360650.0,403586.0,Effectiveness,0.893613752706982
Total Debt/Total Capital (MRQ),0.1353,0.3161,Financial strength,0.4280291047136982
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0125,Financial strength,0.08
Quick Ratio (MRQ),2.92,2.25,Financial strength,1.2977777777777777
Interest Coverage (MRQ),-11.24,14.99,Financial strength,-0.7498332221480988
