,WNC
Price/Earnings (TTM),27.98331
Price/Sales (TTM),0.52979
Price/Book (MRQ),3.42769
Price/Cash Flow (TTM),12.94071
5yr Low,6.26
5yr High,26.54
5yr Avg Return,0.07865
EPS Growth 5yr,-0.5842814
Revenue Growth 5yr,-0.0046132000000000005
Dividend Growth 5yr,
Short Int Current Month,3791392.0
Short Int Prev Month,3900873.0
Short Int Pct of Float,0.08029159999999999
Days to Cover,6.45719
Float,47.17425
Shares Outstanding,47.94413
Institutions Holding Shares,261.0
% Held by Institutions,1.0052670000000001
FCF Growth 5yr,-1.0242717169480218
