,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.03,8.34,7.0,14.73,,,,,
low,3.8,1.8,2.42,5.17,,,,,
change,-0.048499999999999995,-0.6776000000000001,1.0579,1.5566,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,78.0,26.0,98.0,64.0,Balance Sheet
Cash & Equivalents,,,,,233.0,178.0,150.0,117.0,Balance Sheet
Short Term Investments,,,,,4.0,4.0,2.0,2.0,Balance Sheet
Cash and Short Term Invs,,,,,315.0,208.0,251.0,183.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,25.0,28.0,33.0,58.0,Balance Sheet
Other Receivables,,,,,17.0,16.0,19.0,24.0,Balance Sheet
"Total Receivables, Net",,,,,42.0,44.0,52.0,81.0,Balance Sheet
Invent. - Finished Goods,,,,,5.0,8.0,5.0,0.0,Balance Sheet
Invent. - Raw Materials,,,,,9.0,10.0,14.0,6.0,Balance Sheet
Inventories - Other,,,,,,,,1.0,Balance Sheet
Total Inventory,,,,,14.0,18.0,19.0,7.0,Balance Sheet
Prepaid Expenses,,,,,4.0,5.0,7.0,9.0,Balance Sheet
Total Current Assets,,,,,375.0,275.0,329.0,280.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1250.0,1355.0,1447.0,1543.0,Balance Sheet
"Goodwill, Net",,,,,28.0,28.0,28.0,28.0,Balance Sheet
Long Term Investments,,,,,3.0,4.0,4.0,6.0,Balance Sheet
Note Rcvble - Long Term,,,,,5.0,4.0,5.0,5.0,Balance Sheet
Deferred Charges,,,,,15.0,15.0,14.0,14.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,3.0,4.0,4.0,4.0,Balance Sheet
Other Long Term Assets,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,,,1684.0,1689.0,1835.0,1884.0,Balance Sheet
