,VIST
% Below High,0.0801
% Held by Institutions,
52-Wk Range,['4.86 - 14.73']
Annual Dividend $,
Annual Dividend %,
Ask,14.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,10.05
Bid Size,100.0
Closing Price,13.55
Day Change $,-0.34
Day Change %,-0.0245
Day High,13.89
Day Low,13.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.6
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,13.89
Short Interest,
Today's Open,13.53
Volume,534029.0
Volume 10-day Avg,665900.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,10.25925925925926
Growth 1yr High Est,2.4215686274509807
Growth 1yr Consensus Est,6.34041394335512
Growth 2yr Low Est,5.206932261208577
Growth 2yr High Est,1.2924462048429688
Growth 2yr Consensus Est,3.249689233025773
Growth 5yr Low Est,5.206932261208577
Growth 5yr High Est,1.2924462048429688
Growth 5yr Consensus Est,3.249689233025773
Growth 5yr Actual/Est,1.387166682335285
Growth 3yr Historic,0.10510541546093422
5yr Low,1.8
5yr High,14.73
5yr Avg Return,0.4721
FCF Growth 5yr,0.5926313196007204
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,
newConstructs since,
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
