,BY
% Above Low,0.11320000000000001
% Held by Institutions,0.4841
52-Wk Range,['20.15 - 29.15']
Annual Dividend $,0.36
Annual Dividend %,0.016
Ask,35.98
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,9.0
Bid Size,200.0
Closing Price,22.43
Day Change $,-0.06
Day Change %,-0.0027
Day High,22.58
Day Low,22.41
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",2.18
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.266
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,841.0M
"P/E Ratio (TTM, GAAP)",10.31
Prev Close,22.49
Short Interest,0.0339
Today's Open,22.58
Volume,89536.0
Volume 10-day Avg,85560.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.008810572687224627
Growth 1yr High Est,-0.0717131474103585
Growth 1yr Consensus Est,-0.040261860048791565
Growth 2yr Low Est,0.006705824767498758
Growth 2yr High Est,-0.014397346237368103
Growth 2yr Consensus Est,-0.0038457607349346723
Growth 5yr Low Est,0.12185940589024288
Growth 5yr High Est,0.13995322561549312
Growth 5yr Consensus Est,0.13090631575286799
Growth 5yr Actual/Est,0.22957068092937655
Growth 3yr Historic,0.23346560846560843
Price/Earnings (TTM),10.31212
Price/Sales (TTM),2.66393
Price/Book (MRQ),1.12413
Price/Cash Flow (TTM),8.98835
5yr Low,8.13
5yr High,29.15
5yr Avg Return,0.07239999999999999
EPS Growth 5yr,0.0040131
Revenue Growth 5yr,0.2040539
Dividend Growth 5yr,
Short Int Current Month,751319.0
Short Int Prev Month,767881.0
Short Int Pct of Float,0.033886
Days to Cover,9.17776
Float,22.18296
Shares Outstanding,37.47775
Institutions Holding Shares,178.0
FCF Growth 5yr,0.37607085346215774
"Price/Earnings (TTM, GAAP)",10.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3432
Net Profit Margin (TTM),0.2612
Annual Dividend Yield,0.016
Dividend Change %,1.5
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1242
EPS Growth (TTM),-0.038
Revenue Growth (MRQ),0.20070000000000002
Revenue Growth (TTM),0.11789999999999999
Return On Equity (TTM),0.1051
Return On Assets (TTM),0.0118
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0048
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-03-22 00:00:00
marketEdge opinion since,
