,TMP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.33,11.29,Valuation,1.2692648361381755
Price/Sales (TTM),3.93,3.28,Valuation,1.1981707317073171
Price/Book (MRQ),2.12,1.42,Valuation,1.4929577464788735
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.35710000000000003,0.3468,Profitability,1.0297001153402539
Net Profit Margin (TTM),0.2748,0.2848,Profitability,0.9648876404494382
Annual Dividend Yield,0.0286,0.028999999999999998,Dividend,0.9862068965517242
Dividend Change %,0.0429,-0.0087,Dividend,-4.931034482758621
"Dividend Growth Rate, 3 Years",0.0412,0.0742,Dividend,0.555256064690027
EPS Growth (MRQ),0.024100000000000003,-0.048,Gowth rates,-0.5020833333333334
EPS Growth (TTM),-0.0736,-0.10490000000000001,Gowth rates,0.7016205910390848
Revenue Growth (MRQ),0.0446,0.5294,Gowth rates,0.084246316584813
Revenue Growth (TTM),0.0014000000000000002,0.22469999999999998,Gowth rates,0.006230529595015578
Return On Equity (TTM),0.131,0.1153,Effectiveness,1.1361665221162187
Return On Assets (TTM),0.010700000000000001,0.0101,Effectiveness,1.0594059405940595
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.002,0.0009,Financial strength,-2.2222222222222223
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
