,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.21,21.66,,,,,
low,17.35,7.8,,,,,
change,0.047,-0.401,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,64365.0,56206.0,56559.0,63543.0,Balance Sheet
"Total Receivables, Net",,,18223.0,23410.0,28771.0,28992.0,Balance Sheet
Prepaid Expenses,,,7090.0,5458.0,3634.0,2605.0,Balance Sheet
"Other Curr. Assets, Total",,,,1332.0,1287.0,888.0,Balance Sheet
Total Current Assets,,,89678.0,86406.0,90251.0,96028.0,Balance Sheet
Buildings,,,1947.0,1936.0,1897.0,1833.0,Balance Sheet
Machinery/Equipment,,,19029.0,22206.0,24618.0,25118.0,Balance Sheet
Other Prop./Plant/Equip.,,,540.0,545.0,542.0,426.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,21516.0,24687.0,27057.0,27377.0,Balance Sheet
Accumulated Depreciation,,,-8465.0,-9641.0,-10964.0,-11954.0,Balance Sheet
Prop./Plant/Equip. - Net,,,13051.0,15046.0,16093.0,15423.0,Balance Sheet
Other Long Term Assets,,,3356.0,3499.0,3783.0,4151.0,Balance Sheet
Total Assets,,,106085.0,104951.0,110127.0,115602.0,Balance Sheet
Accounts Payable,,,2528.0,1189.0,879.0,1185.0,Balance Sheet
Accrued Expenses,,,5578.0,6557.0,8963.0,10804.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
Customer Advances,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,0.0,,,,Balance Sheet
Total Current Liabilities,,,8106.0,7746.0,9842.0,11989.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,42145.0,41837.0,40670.0,42041.0,Balance Sheet
"Other Liabilities, Total",,,538.0,497.0,479.0,443.0,Balance Sheet
Total Liabilities,,,50789.0,50080.0,50991.0,54473.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,,,Balance Sheet
Common Stock,,,113.0,113.0,113.0,113.0,Balance Sheet
Additional Paid-In Capital,,,226717.0,233607.0,240501.0,241045.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-171209.0,-178474.0,-180896.0,-179357.0,Balance Sheet
"Other Equity, Total",,,-325.0,-375.0,-582.0,-672.0,Balance Sheet
Total Equity,,,55296.0,54871.0,59136.0,61129.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,106085.0,104951.0,110127.0,115602.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,65583.0,65583.0,67002.0,67009.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,47471.0,47471.0,46069.0,46069.0,Balance Sheet
Ttl Comm. Shares Outs.,,,113054.0,113054.0,113071.0,113078.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,31853.0,34141.0,36540.0,39151.0,Income Statement
"Cost of Revenue, Total",,,10164.0,10983.0,10847.0,11974.0,Income Statement
Selling/Gen/Admin Expense,,,167631.0,19796.0,19417.0,20396.0,Income Statement
Labor & Related Expense,,,,10931.0,6460.0,-24.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,167631.0,30727.0,25877.0,20372.0,Income Statement
Research & Development,,,146556.0,4802.0,3722.0,3864.0,Income Statement
Total Operating Expense,,,324351.0,46512.0,40446.0,36210.0,Income Statement
Total Operating Income,,,-292498.0,-12371.0,-3906.0,2941.0,Income Statement
"Inter Expse,Net Non-Operat",,,-307.0,-6.0,-1.0,-4.0,Income Statement
OtherNon-OperatInc (Expnse),,,-1214.0,3.0,1.0,-52.0,Income Statement
"Other, Net",,,-1214.0,3.0,1.0,-52.0,Income Statement
Income Before Tax,,,-294019.0,-12374.0,-3906.0,2885.0,Income Statement
Income Tax - Total,,,-125.0,150.0,219.0,287.0,Income Statement
Income After Tax,,,-293894.0,-12524.0,-4125.0,2598.0,Income Statement
Minority Interest,,,111033.0,5259.0,1703.0,-1059.0,Income Statement
Net Inc Before Extra Items,,,-182861.0,-7265.0,-2422.0,1539.0,Income Statement
Total Net Income,,,-182861.0,-7265.0,-2422.0,1539.0,Income Statement
Total Adjust to Net Income,,,-16580.0,-744.0,-234.0,142.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-199441.0,-8009.0,-2656.0,1681.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-199441.0,-8009.0,-2656.0,1681.0,Income Statement
Basic/Primary Weighted Average Shares,,,6983.0,84285.0,84581.0,85156.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-28.56,-0.1,-0.03,0.02,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-28.56,-0.1,-0.03,0.02,Income Statement
Dilution Adjustment,,,,,,917.0,Income Statement
Diluted Weighted Average Shares,,,6983.0,84285.0,84581.0,131760.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-28.56,-0.1,-0.03,0.02,Income Statement
Diluted EPS Incl. Extra. Items,,,-28.56,-0.1,-0.03,0.02,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,307.0,6.0,1.0,4.0,Income Statement
"Depreciat/Amort, Suppl",,,1316.0,1340.0,1615.0,1699.0,Income Statement
Normalzd Income Before Tax,,,-294019.0,-12374.0,-3906.0,2885.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-125.0,150.0,219.0,287.0,Income Statement
Normalized Income After Tax,,,-293894.0,-12524.0,-4125.0,2598.0,Income Statement
Normalzd Inc Avail to Common,,,-199441.0,-8009.0,-2656.0,1681.0,Income Statement
Basic Normalized EPS,,,-28.56,-0.1,-0.03,0.02,Income Statement
Diluted Normalized EPS,,,-28.56,-0.1,-0.03,0.02,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-282242.0,-12524.0,-16649.0,-14051.0,Cash Flow
Depreciation/Depletion,,,3975.0,1340.0,2955.0,4654.0,Cash Flow
Unusual Items,,,1215.0,,,,Cash Flow
Other Non-Cash Items,,,291475.0,12811.0,20822.0,22068.0,Cash Flow
Non-Cash Items,,,292690.0,12811.0,20822.0,22068.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,265.0,333.0,1053.0,Cash Flow
"Cash Interest Pd, Suppl",,,4813.0,0.0,0.0,0.0,Cash Flow
Accounts Receivable,,,-7493.0,-5310.0,-11007.0,-12030.0,Cash Flow
Prepaid Expenses,,,-6477.0,-13.0,1316.0,2246.0,Cash Flow
Accounts Payable,,,2044.0,-1339.0,-1970.0,-1383.0,Cash Flow
