,ENFN
% Above Low,0.6167
% Held by Institutions,1.0781999999999998
52-Wk Range,['7.80 - 21.74']
Annual Dividend $,
Annual Dividend %,
Ask,13.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,7.9
Bid Size,100.0
Closing Price,12.61
Day Change $,-0.09
Day Change %,-0.0070999999999999995
Day High,12.76
Day Low,12.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-28.67
Ex-dividend Date,No dividend
Historical Volatility,0.7220000000000001
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,869.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.7
Short Interest,0.0652
Today's Open,12.57
Volume,42387.0
Volume 10-day Avg,398082.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0
Growth 2yr High Est,0.8333333333333335
Growth 2yr Consensus Est,0.9166666666666667
Growth 5yr Low Est,1.0
Growth 5yr High Est,0.8333333333333335
Growth 5yr Consensus Est,0.9166666666666667
Growth 5yr Actual/Est,0.24444444444444452
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),10.15094
Price/Book (MRQ),23.32634
Price/Cash Flow (TTM),
5yr Low,7.8
5yr High,23.21
5yr Avg Return,-0.177
Short Int Current Month,1836885.0
Short Int Prev Month,2127709.0
Short Int Pct of Float,0.06519269999999999
Days to Cover,4.64679
Float,20.93477
Shares Outstanding,114.0552
Institutions Holding Shares,96.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6897
Operating Profit Margin (TTM),-2.1585
Net Profit Margin (TTM),-2.1734
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.6276
EPS Growth (TTM),-6072.843000000001
Revenue Growth (MRQ),0.07150000000000001
Revenue Growth (TTM),0.3822
Return On Equity (TTM),
Return On Assets (TTM),-3.7274000000000003
Return On Investment (TTM),-6.488099999999999
Revenue Per Employee (TTM),158840.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),735.25
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-23 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
theStreet since,2022-11-23 00:00:00
newConstructs since,
marketEdge opinion since,
