,ENFN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),10.15,9.39,Valuation,1.080937167199148
Price/Book (MRQ),23.33,12.63,Valuation,1.8471892319873315
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6897,0.7206,Profitability,0.9571190674437968
Operating Profit Margin (TTM),-2.1585,0.2172,Profitability,-9.937845303867404
Net Profit Margin (TTM),-2.1734,0.1553,Profitability,-13.994848679974243
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),1.6276,-0.0752,Gowth rates,-21.643617021276594
EPS Growth (TTM),-6072.843000000001,-0.2824,Gowth rates,21504.40155807366
Revenue Growth (MRQ),0.07150000000000001,0.15560000000000002,Gowth rates,0.45951156812339333
Revenue Growth (TTM),0.3822,0.1906,Gowth rates,2.005246589716684
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),-3.7274000000000003,0.10740000000000001,Effectiveness,-34.70577281191806
Return On Investment (TTM),-6.488099999999999,0.1387,Effectiveness,-46.777937995674115
Revenue Per Employee (TTM),158840.0,667721.0,Effectiveness,0.23788378679118974
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0004,Financial strength,-25.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),735.25,0.28,Financial strength,2625.892857142857
