,JJSF
% Below High,0.0233
% Held by Institutions,0.7736
52-Wk Range,['117.45 - 165.78']
Annual Dividend $,2.8
Annual Dividend %,0.0173
Ask,260.12
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,0.5
Bid,136.74
Bid Size,700.0
Closing Price,161.91
Day Change $,1.5
Day Change %,0.009399999999999999
Day High,163.71
Day Low,159.99
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",2.46
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.29
Last (size),29.0
Last (time),1:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",65.89
Prev Close,160.41
Short Interest,0.058899999999999994
Today's Open,160.8
Volume,37542.0
Volume 10-day Avg,95353.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2527716186252773
Growth 2yr High Est,0.18627450980392157
Growth 2yr Consensus Est,0.21952306421459944
Growth 5yr Low Est,0.2527716186252773
Growth 5yr High Est,0.18627450980392157
Growth 5yr Consensus Est,0.21952306421459944
Growth 5yr Actual/Est,0.5097233037805333
Growth 3yr Historic,0.26914808519148076
Price/Earnings (TTM),65.88751
Price/Sales (TTM),2.25406
Price/Book (MRQ),3.60503
Price/Cash Flow (TTM),30.98321
5yr Low,105.67
5yr High,196.84
5yr Avg Return,0.0218
EPS Growth 5yr,-0.1019042
Revenue Growth 5yr,0.04952619999999999
Dividend Growth 5yr,0.0894215
Short Int Current Month,914061.0
Short Int Prev Month,959786.0
Short Int Pct of Float,0.0589219
Days to Cover,11.67368
Float,15.53195
Shares Outstanding,19.22103
Institutions Holding Shares,292.0
FCF Growth 5yr,1.6573957142920568
"Price/Earnings (TTM, GAAP)",65.89
"PEG Ratio (TTM, GAAP)",0.9
Gross Profit Margin (TTM),0.2677
Operating Profit Margin (TTM),0.044800000000000006
Net Profit Margin (TTM),0.0342
Annual Dividend Yield,0.0173
Dividend Change %,0.0738
"Dividend Growth Rate, 3 Years",0.091
EPS Growth (MRQ),0.1109
EPS Growth (TTM),-0.1527
Revenue Growth (MRQ),0.053099999999999994
Revenue Growth (TTM),0.20629999999999998
Return On Equity (TTM),0.0553
Return On Assets (TTM),0.0404
Return On Investment (TTM),0.0475
Revenue Per Employee (TTM),276131.0
Total Debt/Total Capital (MRQ),0.060300000000000006
Change in Debt/Total Capital Quarter over Quarter,0.8797
Quick Ratio (MRQ),1.45
Interest Coverage (MRQ),64.43
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-23 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
