,UAL
% Below High,0.19010000000000002
% Held by Institutions,0.58
52-Wk Range,['30.54 - 53.12']
Annual Dividend $,
Annual Dividend %,
Ask,43.17
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.3
Bid,43.02
Bid Size,300.0
Closing Price,43.02
Day Change $,-1.4
Day Change %,-0.0315
Day High,43.96
Day Low,42.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.38
Ex-dividend Date,No dividend
Historical Volatility,0.562
Last (size),10.0
Last (time),4:00p ET 11/28/22
Market Cap,14.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,44.42
Short Interest,0.056299999999999996
Today's Open,43.93
Volume,6025272.0
Volume 10-day Avg,4916470.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-1.1284170375079465
Growth 1yr High Est,-1.1941666666666666
Growth 1yr Consensus Est,-1.1612918520873066
Growth 2yr Low Est,-0.40084218212030986
Growth 2yr High Est,0.7333887696709583
Growth 2yr Consensus Est,0.16627329377532424
Growth 5yr Low Est,-1.1692000758916854
Growth 5yr High Est,-0.4976194708566568
Growth 5yr Consensus Est,-0.8334097733741711
Growth 5yr Actual/Est,-0.8321593784813491
Growth 3yr Historic,-0.9455861880057853
Price/Earnings (TTM),
Price/Sales (TTM),0.3564
Price/Book (MRQ),2.9649
Price/Cash Flow (TTM),8.54746
5yr Low,17.8
5yr High,97.85
5yr Avg Return,-0.021333333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.075918
Dividend Growth 5yr,
Short Int Current Month,18332340.0
Short Int Prev Month,17835592.0
Short Int Pct of Float,0.056279199999999995
Days to Cover,2.34695
Float,325.8942
Shares Outstanding,326.9278
Institutions Holding Shares,671.0
FCF Growth 5yr,-8.679699779799261
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5363
Operating Profit Margin (TTM),0.013500000000000002
Net Profit Margin (TTM),-0.018500000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8702
EPS Growth (TTM),0.7752
Revenue Growth (MRQ),0.0632
Revenue Growth (TTM),1.0523
Return On Equity (TTM),-0.1456
Return On Assets (TTM),-0.010900000000000002
Return On Investment (TTM),-0.0151
Revenue Per Employee (TTM),484507.0
Total Debt/Total Capital (MRQ),0.8659
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.98
Interest Coverage (MRQ),4.99
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-21 00:00:00
theStreet since,2022-09-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-03-09 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
