,OSTK
Price/Earnings (TTM),102.2347
Price/Sales (TTM),0.54342
Price/Book (MRQ),1.71632
Price/Cash Flow (TTM),41.40223
5yr Low,2.53
5yr High,128.5
5yr Avg Return,0.7052166666666666
EPS Growth 5yr,0.4860402
Revenue Growth 5yr,0.0889732
Dividend Growth 5yr,
Short Int Current Month,4139175.0
Short Int Prev Month,4074025.0
Short Int Pct of Float,0.091478
Days to Cover,2.93835
Float,45.26763
Shares Outstanding,45.73976
Institutions Holding Shares,287.0
% Held by Institutions,0.611801
FCF Growth 5yr,-0.5098659133697615
