,OSTK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",102.23,2519.53,Valuation,0.040575027882184374
Price/Sales (TTM),0.54,7.6,Valuation,0.07105263157894738
Price/Book (MRQ),1.72,10.0,Valuation,0.172
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.2305,0.4335,Profitability,0.5317185697808535
Operating Profit Margin (TTM),0.022799999999999997,0.0117,Profitability,1.9487179487179485
Net Profit Margin (TTM),0.0062,-0.0141,Profitability,-0.43971631205673756
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-6.0054,-0.26239999999999997,Gowth rates,22.886432926829272
EPS Growth (TTM),-0.9261,-0.6279,Gowth rates,1.4749163879598663
Revenue Growth (MRQ),-0.1285,0.1585,Gowth rates,-0.8107255520504731
Revenue Growth (TTM),-0.2404,0.12369999999999999,Gowth rates,-1.9434114793856105
Return On Equity (TTM),0.013600000000000001,0.0635,Effectiveness,0.21417322834645672
Return On Assets (TTM),0.0131,-0.1317,Effectiveness,-0.09946848899012907
Return On Investment (TTM),0.0178,0.0197,Effectiveness,0.9035532994923858
Revenue Per Employee (TTM),1583035.0,354479.0,Effectiveness,4.465807565469323
Total Debt/Total Capital (MRQ),0.0543,0.39840000000000003,Financial strength,0.13629518072289157
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.4575,Financial strength,0.0006557377049180327
Quick Ratio (MRQ),2.01,0.68,Financial strength,2.9558823529411757
Interest Coverage (MRQ),,-0.6,Financial strength,
