,NGVT
% Below High,0.0174
% Held by Institutions,0.9194
52-Wk Range,['56.31 - 79.79']
Annual Dividend $,
Annual Dividend %,
Ask,80.0
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.8
Bid,62.0
Bid Size,1000.0
Closing Price,78.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.81
Ex-dividend Date,No dividend
Historical Volatility,0.38200000000000006
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.49
Prev Close,78.4
Short Interest,0.0192
Today's Open,
Volume,41944.0
Volume 10-day Avg,130759.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2277227722772277
Growth 1yr High Est,0.22058823529411753
Growth 1yr Consensus Est,0.22415550378567262
Growth 2yr Low Est,0.1219259022676461
Growth 2yr High Est,0.2827338766832034
Growth 2yr Consensus Est,0.20232988947542474
Growth 5yr Low Est,0.08541947287295348
Growth 5yr High Est,0.17062771862907605
Growth 5yr Consensus Est,0.12802359575101477
Growth 5yr Actual/Est,0.10031557928978377
Growth 3yr Historic,0.015394830911448859
Price/Earnings (TTM),13.49305
Price/Sales (TTM),1.80782
Price/Book (MRQ),4.6205
Price/Cash Flow (TTM),8.82245
5yr Low,24.92
5yr High,120.41
5yr Avg Return,0.005850000000000003
EPS Growth 5yr,0.2876864
Revenue Growth 5yr,0.0890574
Dividend Growth 5yr,
Short Int Current Month,711236.0
Short Int Prev Month,845317.0
Short Int Pct of Float,0.0191976
Days to Cover,4.29851
Float,37.05261
Shares Outstanding,37.37163
Institutions Holding Shares,368.0
FCF Growth 5yr,-6.120292067966486
"Price/Earnings (TTM, GAAP)",13.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3515
Operating Profit Margin (TTM),0.1766
Net Profit Margin (TTM),0.139
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2812
EPS Growth (TTM),0.7614000000000001
Revenue Growth (MRQ),0.1479
Revenue Growth (TTM),0.17350000000000002
Return On Equity (TTM),0.3525
Return On Assets (TTM),0.09460000000000002
Return On Investment (TTM),0.1067
Revenue Per Employee (TTM),876054.0
Total Debt/Total Capital (MRQ),0.6455
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.25
Interest Coverage (MRQ),8.21
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-14 00:00:00
theStreet since,2022-05-31 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
