,BPOP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.24,11.43,Valuation,0.4584426946631671
Price/Sales (TTM),1.74,3.3,Valuation,0.5272727272727273
Price/Book (MRQ),1.43,1.46,Valuation,0.9794520547945206
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.43479999999999996,0.34240000000000004,Profitability,1.2698598130841119
Net Profit Margin (TTM),0.34909999999999997,0.2812,Profitability,1.241465149359886
Annual Dividend Yield,0.030600000000000002,0.028700000000000003,Dividend,1.0662020905923344
Dividend Change %,0.09380000000000001,-0.0086,Dividend,-10.906976744186048
"Dividend Growth Rate, 3 Years",0.20510000000000003,0.0734,Dividend,2.7942779291553137
EPS Growth (MRQ),1.0598,-0.0335,Gowth rates,-31.63582089552239
EPS Growth (TTM),0.2529,-0.09960000000000001,Gowth rates,-2.539156626506024
Revenue Growth (MRQ),0.139,0.5429,Gowth rates,0.25603241849327685
Revenue Growth (TTM),0.09,0.2466,Gowth rates,0.364963503649635
Return On Equity (TTM),0.21850000000000003,0.1135,Effectiveness,1.9251101321585904
Return On Assets (TTM),0.014499999999999999,0.0099,Effectiveness,1.4646464646464645
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0024,0.0009,Financial strength,2.6666666666666665
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
