,BPOP
% Above Low,0.09970000000000001
% Held by Institutions,0.8815999999999999
52-Wk Range,['65.47 - 99.49']
Annual Dividend $,2.2
Annual Dividend %,0.030600000000000002
Ask,72.4
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.9
Bid,71.59
Bid Size,600.0
Closing Price,72.0
Day Change $,0.67
Day Change %,0.009399999999999999
Day High,72.19
Day Low,71.32
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",13.74
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.33799999999999997
Last (size),13.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.24
Prev Close,71.33
Short Interest,0.0189
Today's Open,71.75
Volume,147340.0
Volume 10-day Avg,401475.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2422018348623851
Growth 1yr High Est,0.2290748898678414
Growth 1yr Consensus Est,0.23563836236511326
Growth 2yr Low Est,-0.035472199260092485
Growth 2yr High Est,-0.011985852557118704
Growth 2yr Consensus Est,-0.023729025908605594
Growth 5yr Low Est,0.1432744584393354
Growth 5yr High Est,0.15464383204271415
Growth 5yr Consensus Est,0.14895914524102477
Growth 5yr Actual/Est,0.1832349425966493
Growth 3yr Historic,0.2013743760152134
Price/Earnings (TTM),5.2411
Price/Sales (TTM),1.73751
Price/Book (MRQ),1.4325
Price/Cash Flow (TTM),4.70018
5yr Low,23.69
5yr High,99.49
5yr Avg Return,0.1435833333333333
EPS Growth 5yr,0.4111087
Revenue Growth 5yr,0.0536449
Dividend Growth 5yr,0.238732
Short Int Current Month,1345668.0
Short Int Prev Month,1661674.0
Short Int Pct of Float,0.0188699
Days to Cover,2.42957
Float,71.507
Shares Outstanding,72.69443
Institutions Holding Shares,421.0
FCF Growth 5yr,0.4417984668305593
"Price/Earnings (TTM, GAAP)",5.24
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.43479999999999996
Net Profit Margin (TTM),0.34909999999999997
Annual Dividend Yield,0.030600000000000002
Dividend Change %,0.09380000000000001
"Dividend Growth Rate, 3 Years",0.20510000000000003
EPS Growth (MRQ),1.0598
EPS Growth (TTM),0.2529
Revenue Growth (MRQ),0.139
Revenue Growth (TTM),0.09
Return On Equity (TTM),0.21850000000000003
Return On Assets (TTM),0.014499999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-10-06 00:00:00
