,CDNA
% Above Low,0.073
% Held by Institutions,0.9959
52-Wk Range,['11.92 - 47.82']
Annual Dividend $,
Annual Dividend %,
Ask,13.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,12.79
Bid Size,100.0
Closing Price,12.79
Day Change $,0.08
Day Change %,0.0063
Day High,12.86
Day Low,12.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.4
Ex-dividend Date,No dividend
Historical Volatility,0.846
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,684.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.71
Short Interest,0.08779999999999999
Today's Open,12.56
Volume,313310.0
Volume 10-day Avg,1311930.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-10.0
Growth 1yr High Est,-4.545454545454545
Growth 1yr Consensus Est,-7.2727272727272725
Growth 2yr Low Est,-5.2555555555555555
Growth 2yr High Est,-2.798368298368298
Growth 2yr Consensus Est,-4.026961926961927
Growth 5yr Low Est,-2.6277777777777778
Growth 5yr High Est,-1.399184149184149
Growth 5yr Consensus Est,-2.0134809634809634
Growth 5yr Actual/Est,-0.3944706218319412
Growth 3yr Historic,0.39021739130434774
Price/Earnings (TTM),
Price/Sales (TTM),2.14903
Price/Book (MRQ),1.56766
Price/Cash Flow (TTM),
5yr Low,4.92
5yr High,99.83
5yr Avg Return,0.5839666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.48800109999999997
Dividend Growth 5yr,
Short Int Current Month,4584911.0
Short Int Prev Month,4828742.0
Short Int Pct of Float,0.0877904
Days to Cover,3.31637
Float,52.23889
Shares Outstanding,53.53729
Institutions Holding Shares,252.0
FCF Growth 5yr,0.14280868160757607
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6556000000000001
Operating Profit Margin (TTM),-0.23070000000000002
Net Profit Margin (TTM),-0.2336
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.22280000000000003
EPS Growth (TTM),-3.031
Revenue Growth (MRQ),-0.0158
Revenue Growth (TTM),0.1552
Return On Equity (TTM),-0.1638
Return On Assets (TTM),-0.1344
Return On Investment (TTM),-0.15380000000000002
Revenue Per Employee (TTM),503363.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),5.27
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-08-06 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-12-09 00:00:00
theStreet since,
