,CDNA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),2.15,45.03,Valuation,0.047745947146346876
Price/Book (MRQ),1.57,12.61,Valuation,0.1245043616177637
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.6556000000000001,0.5874,Profitability,1.1161048689138577
Operating Profit Margin (TTM),-0.23070000000000002,-4.7459,Profitability,0.048610379485450605
Net Profit Margin (TTM),-0.2336,-4.5467,Profitability,0.0513779224492489
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.22280000000000003,-0.0014000000000000002,Gowth rates,-159.14285714285714
EPS Growth (TTM),-3.031,0.027200000000000002,Gowth rates,-111.43382352941177
Revenue Growth (MRQ),-0.0158,1.3963999999999999,Gowth rates,-0.011314809510169008
Revenue Growth (TTM),0.1552,0.9747,Gowth rates,0.15922848055812044
Return On Equity (TTM),-0.1638,0.1967,Effectiveness,-0.8327402135231317
Return On Assets (TTM),-0.1344,0.0016,Effectiveness,-83.99999999999999
Return On Investment (TTM),-0.15380000000000002,0.0219,Effectiveness,-7.022831050228311
Revenue Per Employee (TTM),503363.0,1476201.0,Effectiveness,0.34098540781370557
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),5.27,2.06,Financial strength,2.5582524271844655
Interest Coverage (MRQ),,2.69,Financial strength,
