,BOH
% Below High,0.1033
% Held by Institutions,0.7519
52-Wk Range,['70.15 - 92.38']
Annual Dividend $,2.8
Annual Dividend %,0.0338
Ask,95.0
Ask Size,1400.0
B/A Ratio,1.2857142857142858
B/A Size,1800x1400
Beta,1.0
Bid,62.0
Bid Size,1800.0
Closing Price,82.84
Day Change $,1.26
Day Change %,0.0154
Day High,82.87
Day Low,81.68
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",5.53
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.268
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.99
Prev Close,81.58
Short Interest,0.049
Today's Open,81.89
Volume,77461.0
Volume 10-day Avg,167281.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.10367892976588633
Growth 1yr High Est,-0.11092985318107662
Growth 1yr Consensus Est,-0.10730439147348148
Growth 2yr Low Est,-0.11807080816652527
Growth 2yr High Est,0.004168100932397445
Growth 2yr Consensus Est,-0.05695135361706391
Growth 5yr Low Est,0.010135367673716034
Growth 5yr High Est,0.063410482820556
Growth 5yr Consensus Est,0.03677292524713602
Growth 5yr Actual/Est,0.05769289904155517
Growth 3yr Historic,0.07835389719312633
Price/Earnings (TTM),14.98537
Price/Sales (TTM),4.83786
Price/Book (MRQ),3.00671
Price/Cash Flow (TTM),13.7118
5yr Low,46.7
5yr High,99.1
5yr Avg Return,0.02313333333333334
EPS Growth 5yr,0.0811634
Revenue Growth 5yr,0.028397899999999997
Dividend Growth 5yr,0.0771043
Short Int Current Month,1921097.0
Short Int Prev Month,1963285.0
Short Int Pct of Float,0.0489536
Days to Cover,11.33003
Float,39.2387
Shares Outstanding,40.01283
Institutions Holding Shares,382.0
FCF Growth 5yr,0.937314949723886
"Price/Earnings (TTM, GAAP)",14.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.42119999999999996
Net Profit Margin (TTM),0.3333
Annual Dividend Yield,0.0338
Dividend Change %,0.022400000000000003
"Dividend Growth Rate, 3 Years",0.054000000000000006
EPS Growth (MRQ),-0.07200000000000001
EPS Growth (TTM),-0.0405
Revenue Growth (MRQ),0.11
Revenue Growth (TTM),0.0663
Return On Equity (TTM),0.17500000000000002
Return On Assets (TTM),0.0099
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
cfra since,2016-11-15 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-12-09 00:00:00
