,BOH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.99,11.43,Valuation,1.3114610673665792
Price/Sales (TTM),4.84,3.3,Valuation,1.4666666666666668
Price/Book (MRQ),3.01,1.46,Valuation,2.0616438356164384
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.42119999999999996,0.34240000000000004,Profitability,1.2301401869158877
Net Profit Margin (TTM),0.3333,0.2812,Profitability,1.1852773826458036
Annual Dividend Yield,0.0338,0.028700000000000003,Dividend,1.1777003484320554
Dividend Change %,0.022400000000000003,-0.0086,Dividend,-2.604651162790698
"Dividend Growth Rate, 3 Years",0.054000000000000006,0.0734,Dividend,0.7356948228882834
EPS Growth (MRQ),-0.07200000000000001,-0.0335,Gowth rates,2.1492537313432836
EPS Growth (TTM),-0.0405,-0.09960000000000001,Gowth rates,0.4066265060240964
Revenue Growth (MRQ),0.11,0.5429,Gowth rates,0.202615582980291
Revenue Growth (TTM),0.0663,0.2466,Gowth rates,0.2688564476885644
Return On Equity (TTM),0.17500000000000002,0.1135,Effectiveness,1.5418502202643172
Return On Assets (TTM),0.0099,0.0099,Effectiveness,1.0
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0009,Financial strength,-0.6666666666666666
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
