,SYK
% Above Low,0.20320000000000002
% Held by Institutions,0.7767000000000001
52-Wk Range,['188.84 - 280.43']
Annual Dividend $,2.78
Annual Dividend %,0.011899999999999999
Ask,227.26
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.0
Bid,227.16
Bid Size,400.0
Day Change $,-5.53
Day Change %,-0.023799999999999998
Day High,233.5
Day Low,226.59
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",6.43
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.316
Last (size),100.0
Last (time),3:52p ET 11/28/22
Market Cap,85.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.2
Prev Close,232.74
Price,227.21
Short Interest,0.0106
Today's Open,230.65
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.0055248618784529135
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.0027624309392264568
Growth 2yr Low Est,0.03298221115900668
Growth 2yr High Est,0.0782608695652175
Growth 2yr Consensus Est,0.05562154036211209
Growth 5yr Low Est,0.05349960726654043
Growth 5yr High Est,0.07515626687401458
Growth 5yr Consensus Est,0.06432793707027751
Growth 5yr Actual/Est,0.05283565185583872
Growth 3yr Historic,0.030733577962516967
Price/Earnings (TTM),36.20024
Price/Sales (TTM),4.90689
Price/Book (MRQ),5.3495
Price/Cash Flow (TTM),25.6014
5yr Low,124.54
5yr High,281.16
5yr Avg Return,0.07383333333333333
EPS Growth 5yr,0.0369041
Revenue Growth 5yr,0.086006
Dividend Growth 5yr,0.1120476
Short Int Current Month,3921823.0
Short Int Prev Month,5035469.0
Short Int Pct of Float,0.0105542
Days to Cover,1.97743
Float,371.6308
Shares Outstanding,378.4
Institutions Holding Shares,1968.0
FCF Growth 5yr,1.7412632545467508
"Price/Earnings (TTM, GAAP)",36.2
"PEG Ratio (TTM, GAAP)",4.55
Gross Profit Margin (TTM),0.6395000000000001
Operating Profit Margin (TTM),0.1583
Net Profit Margin (TTM),0.1369
Annual Dividend Yield,0.011899999999999999
Dividend Change %,0.12390000000000001
"Dividend Growth Rate, 3 Years",0.11199999999999999
EPS Growth (MRQ),0.2452
EPS Growth (TTM),0.2925
Revenue Growth (MRQ),-0.0031
Revenue Growth (TTM),0.0767
Return On Equity (TTM),0.1604
Return On Assets (TTM),0.0701
Return On Investment (TTM),0.0804
Revenue Per Employee (TTM),390174.0
Total Debt/Total Capital (MRQ),0.4366
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-25 00:00:00
theStreet since,2022-11-23 00:00:00
cfra since,2021-01-19 00:00:00
ford since,2022-03-25 00:00:00
marketEdge opinion since,
