,FATE
% Above Low,0.15960000000000002
% Held by Institutions,1.1040999999999999
52-Wk Range,['17.10 - 66.56']
Annual Dividend $,
Annual Dividend %,
Ask,20.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,18.88
Bid Size,100.0
Closing Price,19.83
Day Change $,0.18
Day Change %,0.0092
Day High,19.99
Day Low,19.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.05
Ex-dividend Date,No dividend
Historical Volatility,0.8270000000000001
Last (size),39.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.65
Short Interest,0.23129999999999998
Today's Open,19.42
Volume,333978.0
Volume 10-day Avg,1196725.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.4878048780487805
Growth 1yr High Est,0.4974093264248707
Growth 1yr Consensus Est,0.4926071022368256
Growth 2yr Low Est,0.3477275756364121
Growth 2yr High Est,0.2746562203058609
Growth 2yr Consensus Est,0.3111918979711365
Growth 5yr Low Est,0.33114855603012655
Growth 5yr High Est,0.25848195630677656
Growth 5yr Consensus Est,0.29481525616845156
Growth 5yr Actual/Est,0.29031444099378884
Growth 3yr Historic,0.13125000000000003
Price/Earnings (TTM),
Price/Sales (TTM),27.92068
Price/Book (MRQ),3.71764
Price/Cash Flow (TTM),
5yr Low,3.8
5yr High,121.16
5yr Avg Return,0.7816666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.6621431
Dividend Growth 5yr,
Short Int Current Month,22122976.0
Short Int Prev Month,22233440.0
Short Int Pct of Float,0.231299
Days to Cover,13.1845
Float,95.66909
Shares Outstanding,97.17044
Institutions Holding Shares,329.0
FCF Growth 5yr,0.2196072123879164
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-4.5404
Net Profit Margin (TTM),-4.2598
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0944
EPS Growth (TTM),-0.4311
Revenue Growth (MRQ),-0.1924
Revenue Growth (TTM),0.2622
Return On Equity (TTM),-0.47100000000000003
Return On Assets (TTM),-0.33909999999999996
Return On Investment (TTM),-0.3823
Revenue Per Employee (TTM),153704.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2016-09-20 00:00:00
researchTeam since,2016-09-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
